date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count,usd_krw,domestic_mean_norm,global_mean_norm
2019-01-02,A091160,KODEX 반도체,16323,1684,0.0115727933089532,반도체,0.5700834,0.3457031,26.0,0.41713852,0.0,1.0,1113.800048828125,-0.19548666524088404,-0.2704310437432969
2019-01-03,A091160,KODEX 반도체,15671,5344,0.0683162339664815,반도체,0.58819795,0.28574526,22.0,0.4312785,0.0,1.0,1122.1800537109375,-0.01659997393371285,-0.1993065212941318
2019-01-04,A091160,KODEX 반도체,15354,6330,0.090181415490098,반도체,0.55141604,0.29034898,24.0,0.4312785,0.0,1.0,1124.1199951171875,-0.37983252345098856,-0.1993065212941318
2019-01-07,A091160,KODEX 반도체,15634,2099,0.0521532290024001,반도체,0.6281692,0.3074944,11.0,0.4312785,0.0,1.0,1114.4000244140625,0.37812827821231276,-0.1993065212941318
2019-01-08,A091160,KODEX 반도체,15657,9352,0.0660462936299481,반도체,0.44639558,0.34082714,20.0,0.4312785,0.0,1.0,1116.4000244140625,-1.4169415109200214,-0.1993065212941318
2019-01-09,A091160,KODEX 반도체,16513,9510,0.0253526284281328,반도체,0.5049548,0.34002244,18.0,0.4312785,0.0,1.0,1121.050048828125,-0.8386514009626247,-0.1993065212941318
2019-01-10,A091160,KODEX 반도체,16779,16455,0.0171944322987885,반도체,0.705575,0.22576573,14.0,0.4312785,0.0,1.0,1118.6700439453125,1.142534098394689,-0.1993065212941318
2019-01-11,A091160,KODEX 반도체,16803,7368,0.0206739406724248,반도체,0.5021423,0.3298261,18.0,0.4312785,0.0,1.0,1116.550048828125,-0.8664256939647373,-0.1993065212941318
2019-01-14,A091160,KODEX 반도체,16471,14628,0.0712851847546065,반도체,0.6376842,0.2904367,20.0,0.4312785,0.0,1.0,1118.5999755859375,0.47209179747101626,-0.1993065212941318
2019-01-15,A091160,KODEX 반도체,16726,1388,0.0475195919847029,반도체,0.58268446,0.2892773,16.0,0.4921518,0.0,1.0,1122.0,-0.07104736476899055,0.10688799895305123
2019-01-16,A091160,KODEX 반도체,16937,4889,0.0387959723353229,반도체,0.6117336,0.27524713,15.0,0.40450987,0.0,1.0,1122.4000244140625,0.21582172885568232,-0.33395353107550324
2019-01-17,A091160,KODEX 반도체,17070,35018,0.0554906827398003,반도체,0.6572478,0.32196584,11.0,0.40450987,0.0,1.0,1118.77001953125,0.6652882982980854,-0.33395353107550324
2019-01-18,A091160,KODEX 반도체,17154,2528,0.0809301981509258,반도체,0.5750123,0.32812124,13.0,0.40450987,0.0,1.0,1120.550048828125,-0.14681227847533254,-0.33395353107550324
2019-01-21,A091160,KODEX 반도체,17688,9618,0.0476911563980853,반도체,0.45738214,0.32322657,19.0,0.40450987,0.0,1.0,1125.7900390625,-1.3084458890443624,-0.33395353107550324
2019-01-22,A091160,KODEX 반도체,17540,6347,0.0741486945693812,반도체,0.6548529,0.32941946,15.0,0.40450987,0.0,1.0,1132.3699951171875,0.6416379323209256,-0.33395353107550324
2019-01-23,A091160,KODEX 반도체,17607,1584,0.0971826801386629,반도체,0.55948186,0.32636574,13.0,0.40450987,0.0,1.0,1130.1500244140625,-0.3001800975017261,-0.33395353107550324
2019-01-24,A091160,KODEX 반도체,18044,10762,0.058653637709826,반도체,0.64124167,0.31831792,20.0,0.40450987,0.0,1.0,1125.3299560546875,0.5072228958270072,-0.33395353107550324
2019-01-25,A091160,KODEX 반도체,18600,9915,0.0301849763383976,반도체,0.6182715,0.32579803,18.0,0.55222803,0.0,1.0,1126.75,0.28038548004448666,0.4090732332529732
2019-01-28,A091160,KODEX 반도체,18552,9655,0.0644980934122316,반도체,0.63833374,0.37053624,7.0,0.027261697,0.0,1.0,1118.010009765625,0.47850620254713744,-2.231523128022956
2019-01-29,A091160,KODEX 반도체,18890,5831,0.0206430550299576,반도체,0.58646905,0.36172566,20.0,0.027261697,0.0,1.0,1119.699951171875,-0.033673387327970795,-2.231523128022956
2019-01-30,A091160,KODEX 반도체,19404,7376,-0.0094237739818774,반도체,0.6434108,0.2949191,13.0,0.027261697,0.0,1.0,1117.8699951171875,0.5286437143797793,-2.231523128022956
2019-01-31,A091160,KODEX 반도체,19134,15000,0.020638485666859,반도체,0.6626173,0.33908787,37.0,0.4832375,0.0,1.0,1109.0,0.7183137440846958,0.06204880324919649
2019-02-01,A091160,KODEX 반도체,19170,9088,0.0501058395115758,반도체,0.5085125,0.34528443,19.0,0.4832375,0.0,1.0,1111.550048828125,-0.8035180312866723,0.06204880324919649
2019-02-07,A091160,KODEX 반도체,19788,15870,0.0380285269843796,반도체,0.7033183,0.3033895,21.0,0.4832375,0.0,1.0,1121.6300048828125,1.1202484994550028,0.06204880324919649
2019-02-08,A091160,KODEX 반도체,19284,11785,0.0318459244529319,반도체,0.51121694,0.17955731,10.0,0.4832375,0.0,1.0,1123.75,-0.7768108636540922,0.06204880324919649
2019-02-11,A091160,KODEX 반도체,19222,8620,0.0469006622422179,반도체,0.5251041,0.32556963,14.0,0.4832375,0.0,1.0,1122.8800048828125,-0.639670934478192,0.06204880324919649
2019-02-12,A091160,KODEX 반도체,19533,12969,0.0289626702206754,반도체,0.71414584,0.3324083,11.0,0.4832375,0.0,1.0,1125.02001953125,1.227173750460193,0.06204880324919649
2019-02-13,A091160,KODEX 반도체,20155,13085,0.0167773485852492,반도체,0.8893423,0.20265684,41.0,0.4832375,0.0,1.0,1120.300048828125,2.957292083961674,0.06204880324919649
2019-02-14,A091160,KODEX 반도체,20555,7999,-0.0042903873525294,반도체,0.7032606,0.36602128,14.0,0.4832375,0.0,1.0,1123.719970703125,1.1196786944039023,0.06204880324919649
2019-02-15,A091160,KODEX 반도체,19908,13791,0.0268123205413697,반도체,0.49488786,0.14576593,17.0,0.4832375,0.0,1.0,1128.300048828125,-0.9380654956096253,0.06204880324919649
2019-02-18,A091160,KODEX 반도체,20145,8854,0.0379884977322284,반도체,0.5947155,0.36815104,15.0,0.4832375,0.0,1.0,1125.31005859375,0.04776281481505837,0.06204880324919649
2019-02-19,A091160,KODEX 반도체,20107,8283,0.0280506794281143,반도체,0.42695555,0.29021364,15.0,0.4832375,0.0,1.0,1124.280029296875,-1.6089177204097496,0.06204880324919649
2019-02-20,A091160,KODEX 반도체,20496,6025,0.0019496984144607,반도체,0.3517586,0.29279003,10.0,0.4832375,0.0,1.0,1121.4200439453125,-2.351510474957383,0.06204880324919649
2019-02-21,A091160,KODEX 반도체,20467,3902,-0.0288984447648861,반도체,0.48481828,0.28277224,20.0,0.4832375,0.0,1.0,1121.719970703125,-1.0375056610596571,0.06204880324919649
2019-02-22,A091160,KODEX 반도체,20449,3239,-0.0219017529746884,반도체,0.6785616,0.33187762,10.0,0.4832375,0.0,1.0,1124.1500244140625,0.8757685564984153,0.06204880324919649
2019-02-25,A091160,KODEX 반도체,20925,8423,-0.0601737079617082,반도체,0.5191231,0.3218895,11.0,0.4832375,0.0,1.0,1122.31005859375,-0.6987351287699738,0.06204880324919649
2019-02-26,A091160,KODEX 반도체,20679,10754,-0.055580904527402,반도체,0.58930546,0.26647058,26.0,0.4832375,0.0,1.0,1117.199951171875,-0.005662975802950465,0.06204880324919649
2019-02-27,A091160,KODEX 반도체,20536,3340,-0.0576798724459468,반도체,0.47723442,0.33542177,15.0,0.4832375,0.0,1.0,1114.300048828125,-1.1123985854070357,0.06204880324919649
2019-02-28,A091160,KODEX 반도체,19884,19751,-0.0360473187771339,반도체,0.60443306,0.23150152,13.0,0.4832375,0.0,1.0,1115.0999755859375,0.14372667568816433,0.06204880324919649
2019-03-04,A091160,KODEX 반도체,20006,4859,-0.0222388625277518,반도체,0.6024714,0.3597064,23.0,0.55493367,0.0,1.0,1126.81005859375,0.12435468649331147,0.4226826834020797
2019-03-05,A091160,KODEX 반도체,19703,5756,0.0160108142757315,반도체,0.5659144,0.31655806,15.0,0.5077302,0.0,1.0,1128.1500244140625,-0.23665680836117106,0.18524781703780652
2019-03-06,A091160,KODEX 반도체,19561,2853,0.0315505804337935,반도체,0.50549245,0.3253163,15.0,0.5077302,0.0,1.0,1126.199951171875,-0.8333419436710392,0.18524781703780652
2019-03-07,A091160,KODEX 반도체,19385,6545,0.0534344104147849,반도체,0.42805377,0.32484904,16.0,0.5077302,0.0,1.0,1127.0,-1.5980724638548056,0.18524781703780652
2019-03-08,A091160,KODEX 반도체,19180,3925,0.0559643284774805,반도체,0.50849223,0.34132573,13.0,0.5077302,0.0,1.0,1133.0699462890625,-0.8037182037023716,0.18524781703780652
2019-03-11,A091160,KODEX 반도체,19566,8780,0.0394840867345026,반도체,0.42724267,0.31777856,20.0,0.5077302,0.0,1.0,1134.06005859375,-1.6060823230740104,0.18524781703780652
2019-03-12,A091160,KODEX 반도체,20021,3893,0.0106320556382665,반도체,0.6766229,0.3650935,15.0,0.5077302,0.0,1.0,1130.77001953125,0.8566233042875017,0.18524781703780652
