date,sector,domestic_mean,domestic_std,domestic_count
2019-07-30,2차전지,0.99990076,,1
2019-07-31,2차전지,0.8332629,0.2886135,3
2019-08-01,2차전지,0.83328694,0.2885963,3
2019-08-04,2차전지,0.49998677,,1
2019-08-05,2차전지,0.25006023,0.3534222,2
2019-08-06,2차전지,0.49999598,,1
2019-08-07,2차전지,0.9704305,0.06585668,5
2019-08-08,2차전지,0.92649347,0.18802184,7
2019-08-12,2차전지,0.70268744,0.25291443,7
2019-08-13,2차전지,0.014777488,,1
2019-08-14,2차전지,0.6760297,0.28085116,3
2019-08-16,2차전지,0.99991125,7.324907e-06,3
2019-08-19,2차전지,0.99983674,9.744352e-05,2
2019-08-20,2차전지,0.75018036,0.35317066,2
2019-08-21,2차전지,0.4999986,,1
2019-08-26,2차전지,0.74947906,0.35414883,2
2019-08-27,2차전지,0.66655785,0.28845507,3
2019-08-29,2차전지,0.9991423,,1
2019-08-30,2차전지,0.40194806,0.41749638,5
2019-09-02,2차전지,0.665523,0.286849,3
2019-09-03,2차전지,0.9999127,1.3486991e-06,2
2019-09-04,2차전지,0.7499541,0.35348776,2
2019-09-05,2차전지,0.8325667,0.28805402,3
2019-09-10,2차전지,0.99991053,,1
2019-09-11,2차전지,0.0012111707,0.0010423008,2
2019-09-16,2차전지,0.9999081,6.322027e-07,2
2019-09-17,2차전지,0.9574411,,1
2019-09-18,2차전지,0.66618234,0.40385714,6
2019-09-19,2차전지,0.66675043,0.5769067,3
2019-09-20,2차전지,0.00023261542,,1
2019-09-22,2차전지,0.49849907,,1
2019-09-23,2차전지,0.62491536,0.47845557,4
2019-09-24,2차전지,0.37649733,0.47728166,4
2019-09-26,2차전지,0.75589526,0.34508142,2
2019-09-27,2차전지,0.5004069,0.44678262,6
2019-09-29,2차전지,0.33851352,0.57081646,3
2019-09-30,2차전지,0.6267098,0.477642,4
2019-10-01,2차전지,0.7003161,0.2359319,5
2019-10-02,2차전지,0.5030013,0.57379794,4
2019-10-03,2차전지,0.56812716,,1
2019-10-04,2차전지,0.00031213253,,1
2019-10-06,2차전지,0.5128904,0.08801906,2
2019-10-07,2차전지,0.00021340996,,1
2019-10-08,2차전지,0.7747037,0.26315114,4
2019-10-10,2차전지,0.99991196,2.3812038e-06,3
2019-10-11,2차전지,0.5000347,,1
2019-10-14,2차전지,0.009151097,,1
2019-10-15,2차전지,0.9999161,,1
2019-10-16,2차전지,0.7463732,0.34839234,2
2019-10-17,2차전지,0.25654608,0.3442452,2
2019-10-18,2차전지,0.9999193,,1
2019-10-22,2차전지,0.9999089,1.6395124e-05,2
2019-10-23,2차전지,0.99990654,4.866577e-06,3
2019-10-24,2차전지,0.2960234,,1
2019-10-25,2차전지,0.40042353,0.41780323,5
2019-10-26,2차전지,0.9989771,,1
2019-10-27,2차전지,0.73348844,,1
2019-10-28,2차전지,0.50227153,,1
2019-10-29,2차전지,0.50001436,,1
2019-10-31,2차전지,0.5000017,,1
2019-11-01,2차전지,0.25011554,0.3533559,2
2019-11-04,2차전지,0.999908,9.160309e-06,4
2019-11-05,2차전지,0.9999128,,1
2019-11-06,2차전지,0.6245036,0.47870928,4
2019-11-08,2차전지,0.4985125,0.70462805,2
2019-11-11,2차전지,0.49999192,,1
2019-11-12,2차전지,0.34258258,0.42316052,4
2019-11-13,2차전지,0.65863854,0.5352411,3
2019-11-14,2차전지,0.35850284,0.42533174,6
2019-11-15,2차전지,0.5996021,0.015953215,2
2019-11-18,2차전지,0.9999114,5.521237e-06,2
2019-11-20,2차전지,0.9999052,,1
2019-11-25,2차전지,0.8333173,0.28838503,3
2019-11-26,2차전지,0.99917203,,1
2019-11-27,2차전지,0.25791654,0.2503041,3
2019-11-28,2차전지,0.9998864,3.4349683e-05,2
2019-11-29,2차전지,0.7499683,0.3534791,2
2019-12-01,2차전지,0.32688016,,1
2019-12-02,2차전지,0.6855693,0.47007126,4
2019-12-03,2차전지,0.9999204,,1
2019-12-05,2차전지,0.8725663,0.33685774,7
2019-12-06,2차전지,0.6007743,0.22303891,5
2019-12-09,2차전지,0.66867846,0.28687474,3
2019-12-11,2차전지,0.9999118,,1
2019-12-12,2차전지,0.8446477,0.26502252,3
2019-12-13,2차전지,0.5000155,7.5864327e-06,2
2019-12-16,2차전지,0.9998938,,1
