date,sector,global_mean,global_std,global_count
2020-08-27,2차전지,0.27525347,,1
2020-08-28,2차전지,0.5295736,,1
2020-09-03,2차전지,0.49190277,,1
2020-09-04,2차전지,0.13100335,,1
2020-09-09,2차전지,0.43033528,,1
2020-09-20,2차전지,0.5580449,,1
2020-09-21,2차전지,0.2906822,0.31489328,2
2020-09-24,2차전지,0.59459853,,1
2020-09-27,2차전지,0.041575752,,1
2020-10-01,2차전지,0.56566125,,1
2020-10-05,2차전지,0.49902913,,1
2020-10-07,2차전지,0.8977292,,1
2020-10-13,2차전지,0.5095655,,1
2020-10-15,2차전지,0.5010526,0.0118126655,2
2020-10-18,2차전지,0.5253182,,1
2020-10-20,2차전지,0.22805762,,1
2020-10-21,2차전지,0.2587374,0.30841687,2
2020-10-27,2차전지,0.5987556,,1
2020-10-28,2차전지,0.49885404,,1
2020-10-29,2차전지,0.5084998,,1
2020-11-05,2차전지,0.5262193,,1
2020-11-11,2차전지,0.67750585,,1
2020-11-15,2차전지,0.5238047,,1
2020-11-18,2차전지,0.52734643,0.022654558,4
2020-11-19,2차전지,0.94734466,,1
2020-11-28,2차전지,0.47337654,,1
2020-12-10,2차전지,0.5118373,,1
2020-12-13,2차전지,0.3580011,,1
2020-12-15,2차전지,0.50738865,,1
2020-12-17,2차전지,0.50201315,,1
2020-12-28,2차전지,0.5346873,,1
2021-01-06,2차전지,0.517579,,1
2021-01-08,2차전지,0.666831,,1
2021-01-14,2차전지,0.6684257,,1
2021-01-15,2차전지,0.81372845,,1
2021-01-25,2차전지,0.47592387,,1
2021-01-26,2차전지,0.4141918,0.3525721,3
2021-01-27,2차전지,0.46955466,0.20703252,3
2021-01-29,2차전지,0.42488435,,1
2021-02-02,2차전지,0.5054586,,1
2021-02-04,2차전지,0.5346465,,1
2021-02-05,2차전지,0.59802127,,1
2021-02-07,2차전지,0.52210784,,1
2021-02-08,2차전지,0.5114774,,1
2021-02-10,2차전지,0.7205893,0.18552005,2
2021-02-11,2차전지,0.5767887,,1
2021-02-12,2차전지,0.50252926,,1
2021-02-16,2차전지,0.45554987,0.07597489,3
2021-02-19,2차전지,0.50486004,,1
2021-02-21,2차전지,0.51387346,,1
2021-02-24,2차전지,0.8913853,0.03968876,2
2021-02-25,2차전지,0.23247176,,1
2021-02-27,2차전지,0.09061213,,1
2021-03-02,2차전지,0.51609385,0.014864646,2
2021-03-03,2차전지,0.46796298,0.080553494,3
2021-03-04,2차전지,0.5114855,,1
2021-03-08,2차전지,0.27270123,,1
2021-03-09,2차전지,0.52794397,,1
2021-03-10,2차전지,0.49629372,0.078198515,20
2021-03-11,2차전지,0.48811048,,1
2021-03-13,2차전지,0.5251966,,1
2021-03-16,2차전지,0.60410166,0.015923332,2
2021-03-17,2차전지,0.5079457,,1
2021-03-23,2차전지,0.7577598,0.24368882,2
2021-03-28,2차전지,0.54542184,,1
2021-03-29,2차전지,0.35262132,,1
2021-03-30,2차전지,0.5416485,,1
2021-03-31,2차전지,0.5729243,,1
2021-04-01,2차전지,0.5066395,,1
2021-04-04,2차전지,0.42171288,,1
2021-04-07,2차전지,0.58933115,,1
2021-04-09,2차전지,0.5127909,0.026642667,2
2021-04-12,2차전지,0.3792585,0.20403737,2
2021-04-13,2차전지,0.5220816,0.011607159,3
2021-04-16,2차전지,0.51185936,,1
2021-04-18,2차전지,0.274754,0.34007072,2
2021-04-21,2차전지,0.27066436,,1
2021-04-22,2차전지,0.37956297,0.20276588,2
2021-04-23,2차전지,0.6056998,,1
2021-04-24,2차전지,0.43985665,,1
2021-04-25,2차전지,0.59793496,,1
2021-05-02,2차전지,0.52470183,,1
2021-05-04,2차전지,0.51603633,,1
2021-05-06,2차전지,0.5308644,,1
2021-05-07,2차전지,0.46783838,0.0515115,2
2021-05-12,2차전지,0.047746256,,1
2021-05-13,2차전지,0.5552525,,1
2021-05-16,2차전지,0.3068679,,1
2021-05-19,2차전지,0.5555734,,1
2021-05-20,2차전지,0.49891776,0.051875796,2
2021-05-24,2차전지,0.48192853,,1
2021-05-28,2차전지,0.5027607,0.010036071,2
2021-06-08,2차전지,0.6640886,0.21168052,3
2021-06-09,2차전지,0.524812,,1
2021-06-10,2차전지,0.51032734,,1
2021-06-16,2차전지,0.7242576,0.30917123,2
2021-06-18,2차전지,0.6288756,0.1621396,2
2021-06-22,2차전지,0.24517797,,1
2021-06-23,2차전지,0.5056034,,1
2021-06-29,2차전지,0.5183745,,1
2021-07-01,2차전지,0.5229601,,1
2021-07-14,2차전지,0.87962186,0.010547417,2
2021-07-20,2차전지,0.6171676,,1
2021-07-22,2차전지,0.031875536,,1
2021-07-23,2차전지,0.5215529,,1
2021-07-24,2차전지,0.5180553,,1
2021-07-25,2차전지,0.13714036,,1
2021-07-27,2차전지,0.5107237,,1
2021-08-05,2차전지,0.49660808,,1
2021-08-06,2차전지,0.57499444,0.027882038,2
2021-08-08,2차전지,0.50994885,,1
2021-08-09,2차전지,0.52094567,0.03660281,2
2021-08-12,2차전지,0.36560023,0.26772505,2
2021-08-16,2차전지,0.45579785,,1
2021-08-18,2차전지,0.50303113,,1
2021-08-24,2차전지,0.38118675,,1
2021-08-27,2차전지,0.2832196,,1
2021-09-02,2차전지,0.5128007,,1
2021-09-07,2차전지,0.572817,,1
2021-09-08,2차전지,0.5565436,0.14058536,3
2021-09-09,2차전지,0.61522466,0.17772792,6
2021-09-10,2차전지,0.44889534,0.07816527,2
2021-09-14,2차전지,0.5404943,,1
2021-09-15,2차전지,0.6491417,0.21413653,2
2021-09-16,2차전지,0.89642566,,1
2021-09-17,2차전지,0.18608057,,1
2021-09-23,2차전지,0.5378278,,1
2021-09-26,2차전지,0.4333469,,1
2021-09-27,2차전지,0.5991086,,1
2021-10-01,2차전지,0.49072507,,1
2021-10-05,2차전지,0.16310036,0.22305703,4
2021-10-06,2차전지,0.96769524,,1
2021-10-08,2차전지,0.5808196,,1
2021-10-10,2차전지,0.5087745,,1
2021-10-13,2차전지,0.16272661,,1
2021-10-16,2차전지,0.5375807,0.024011608,2
2021-10-20,2차전지,0.85924464,,1
2021-10-21,2차전지,0.39304695,0.19263709,3
2021-10-26,2차전지,0.5049461,,1
2021-10-27,2차전지,0.019264145,,1
2021-10-28,2차전지,0.32341534,,1
2021-10-29,2차전지,0.4569228,,1
2021-10-31,2차전지,0.26630253,0.08689567,2
2021-11-01,2차전지,0.5235308,0.034508996,2
2021-11-05,2차전지,0.53858113,,1
2021-11-08,2차전지,0.6362661,,1
2021-11-10,2차전지,0.6063175,0.23896457,4
2021-11-12,2차전지,0.39222306,,1
2021-11-15,2차전지,0.568299,,1
2021-11-17,2차전지,0.65276814,,1
2021-11-18,2차전지,0.7305786,0.13791014,2
2021-11-20,2차전지,0.35897657,0.24553579,3
2021-11-21,2차전지,0.5243317,0.043759175,2
2021-11-22,2차전지,0.5331737,0.022074454,2
2021-11-25,2차전지,0.4973801,,1
2021-11-29,2차전지,0.6440437,0.021473356,2
2021-12-01,2차전지,0.5013756,,1
2021-12-02,2차전지,0.5047592,,1
2021-12-03,2차전지,0.534436,0.028261358,2
2021-12-06,2차전지,0.53581667,,1
