date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-01-02,A305080,TIGER 미국채10년선물,10215,1650.26462446,0.0034204773148317573,sovereign_us,-0.19056018181818182,0.580215911684576,11,0.174547,0.2851500427786513,4.0
2019-01-03,A305080,TIGER 미국채10년선물,10340,1650.26462446,-0.011184167151417684,sovereign_us,-0.18642314285714287,0.42277226860986117,21,-0.7126703333333334,0.20647055162742534,3.0
2019-01-04,A305080,TIGER 미국채10년선물,10340,1650.26462446,-0.014122465053864525,sovereign_us,-0.09305447826086956,0.2863092928560221,23,-0.5871955,0.45011094288464043,2.0
2019-01-07,A305080,TIGER 미국채10년선물,10255,1650.26462446,0.0034071583216143558,sovereign_us,-0.21044900000000002,0.524287383154915,15,0.018229,,1.0
2019-01-08,A305080,TIGER 미국채10년선물,10285,1650.26462446,-0.0038967414140574598,sovereign_us,0.020049,0.4323473415247727,14,0.449762,0.5904341622907672,2.0
2019-01-09,A305080,TIGER 미국채10년선물,10250,1650.26462446,-0.0009760859730554598,sovereign_us,-0.16608166666666666,0.4077420840171721,6,-0.180934,0.2083673978529271,2.0
2019-01-10,A305080,TIGER 미국채10년선물,10225,1650.26462446,0.0034171378137580373,sovereign_us,-0.14345166666666667,0.4065784992909696,12,-0.09636700000000001,0.23854070861490284,5.0
2019-01-11,A305080,TIGER 미국채10년선물,10195,1650.26462446,0.0029382979024468407,sovereign_us,0.117635,0.18548141302432436,5,-0.22811985714285712,0.45407719218558296,7.0
2019-01-14,A305080,TIGER 미국채10년선물,10290,1650.26462446,-0.006336847917092787,sovereign_us,-0.047196909090909095,0.4721010703805816,11,0.013203999999999999,0.05590810476129557,2.0
2019-01-15,A305080,TIGER 미국채10년선물,10245,1650.26462446,0.004382768155095134,sovereign_us,0.011948714285714285,0.05968658495204844,7,-0.38665499999999997,0.28972331227914677,4.0
2019-01-16,A305080,TIGER 미국채10년선물,10240,1650.26462446,0.002925404329105136,sovereign_us,-0.13796875,0.32599837997983555,12,-0.2482315,0.1737000736916942,2.0
2019-01-17,A305080,TIGER 미국채10년선물,10260,1650.26462446,0.0024336833622970845,sovereign_us,0.12489699999999998,0.6392051431435317,8,-0.12211433333333332,0.33364447336848446,3.0
2019-01-18,A305080,TIGER 미국채10년선물,10225,1650.26462446,0.0004888780346696394,sovereign_us,0.000344,0.0007990309756198441,5,-0.203004,0.43472399389037636,3.0
2019-01-21,A305080,TIGER 미국채10년선물,10225,1650.26462446,-0.0044106908064888125,sovereign_us,-0.045191692307692315,0.6186655890436534,13,-0.912347,,1.0
2019-01-22,A305080,TIGER 미국채10년선물,10290,1650.26462446,-0.012222102765648248,sovereign_us,0.024913857142857144,0.06562408994525452,7,0.08880049999999999,0.15110942624634638,2.0
2019-01-23,A305080,TIGER 미국채10년선물,10270,1650.26462446,-0.008802012818090182,sovereign_us,-0.174259375,0.6329995340551067,8,,,
2019-01-24,A305080,TIGER 미국채10년선물,10285,1650.26462446,-0.01075279177626185,sovereign_us,0.02767639999999999,0.46286468358862726,10,-0.265599,0.08587670436154379,2.0
2019-01-25,A305080,TIGER 미국채10년선물,10230,1650.26462446,0.004875680063483931,sovereign_us,-0.015665571428571428,0.03393680213699744,7,0.054268,,1.0
2019-01-28,A305080,TIGER 미국채10년선물,10180,1650.26462446,0.00880201281809018,sovereign_us,0.129451125,0.3516065051455909,8,0.06226124999999999,0.5071418905299088,4.0
2019-01-29,A305080,TIGER 미국채10년선물,10165,1650.26462446,0.014648699442905087,sovereign_us,0.0052020625,0.3530504745233026,16,-0.3583713333333334,0.4078039397999158,3.0
2019-01-30,A305080,TIGER 미국채10년선물,10180,1650.26462446,0.014143127724719762,sovereign_us,-0.029806833333333334,0.07254592916881461,6,-0.3076831428571429,0.5421547304101874,7.0
2019-01-31,A305080,TIGER 미국채10년선물,10175,1650.26462446,0.0097800290536397,sovereign_us,-0.025687599999999998,0.10266300509628577,15,0.4358155,0.5609980140967524,2.0
2019-02-01,A305080,TIGER 미국채10년선물,10280,1650.26462446,-0.0014602095561221501,sovereign_us,0.04879227272727272,0.4736992161045004,11,-0.4025013333333333,0.4292199884317287,3.0
2019-02-07,A305080,TIGER 미국채10년선물,10270,1650.26462446,-0.00048697346956996237,sovereign_us,-0.1886276,0.3952406469015498,10,-0.0498515,0.16444263171239995,2.0
2019-02-08,A305080,TIGER 미국채10년선물,10315,1650.26462446,0.0014531366083319576,sovereign_us,0.00011116666666666665,0.00044306587170156393,6,-0.273519,0.5240982460254947,3.0
2019-02-11,A305080,TIGER 미국채10년선물,10325,1650.26462446,-0.0004843787936797384,sovereign_us,-0.08508099999999999,0.32352079286946744,10,-0.2007,,1.0
2019-02-12,A305080,TIGER 미국채10년선물,10275,1650.26462446,0.005338522749248846,sovereign_us,0.17764955555555556,0.5643368063721147,9,-0.24448483333333335,0.47273171990693275,6.0
2019-02-13,A305080,TIGER 미국채10년선물,10265,1650.26462446,0.004859096052318175,sovereign_us,-0.124698625,0.35356597939157697,8,-0.4572505,0.6583864168560132,2.0
2019-02-14,A305080,TIGER 미국채10년선물,10265,1650.26462446,0.0053437095825197185,sovereign_us,-0.2820262,0.4297688404831137,5,-0.829462,,1.0
2019-02-15,A305080,TIGER 미국채10년선물,10330,1650.26462446,-0.001937985102678577,sovereign_us,-0.00102825,0.00196973270183207,4,0.08758300000000001,0.5190890363641868,5.0
2019-02-18,A305080,TIGER 미국채10년선물,10320,1650.26462446,-0.003883500026397633,sovereign_us,-0.04308766666666666,0.0875323808397022,6,-0.867095,,1.0
2019-02-19,A305080,TIGER 미국채10년선물,10330,1650.26462446,-0.005825259191080295,sovereign_us,0.24718725,0.4535235400923844,8,0.004155,0.05247676494411598,3.0
2019-02-20,A305080,TIGER 미국채10년선물,10315,1650.26462446,-0.0029126234182946147,sovereign_us,0.000381,,1,-0.199417,,1.0
2019-02-21,A305080,TIGER 미국채10년선물,10320,1650.26462446,-0.0004846135302015303,sovereign_us,-0.014831099999999996,0.04104164149427316,10,0.018193000000000015,0.7869773205486928,2.0
2019-02-22,A305080,TIGER 미국채10년선물,10310,1650.26462446,-0.006812678417506819,sovereign_us,-0.0020134999999999997,0.0027584235534087215,2,-0.255996875,0.5047423923548774,8.0
2019-02-25,A305080,TIGER 미국채10년선물,10280,1650.26462446,-0.0004864996447207436,sovereign_us,-0.042498600000000004,0.1404015556815522,5,0.447966,,1.0
2019-02-26,A305080,TIGER 미국채10년선물,10270,1650.26462446,0.004856736112949754,sovereign_us,-0.06459166666666667,0.2782286657410782,12,,,
2019-02-27,A305080,TIGER 미국채10년선물,10285,1650.26462446,0.002912623418294606,sovereign_us,0.12513286666666665,0.620254338456741,15,0.030849,,1.0
2019-02-28,A305080,TIGER 미국채10년선물,10315,1650.26462446,0.01290713352875863,sovereign_us,-0.0004023636363636363,0.011722125014456445,11,-0.3964375,0.5692612639416984,2.0
2019-03-04,A305080,TIGER 미국채10년선물,10240,1650.26462446,0.017809220211182353,sovereign_us,-0.1425054285714286,0.37772792017264545,7,,,
2019-03-05,A305080,TIGER 미국채10년선물,10275,1650.26462446,0.009106825193842906,sovereign_us,0.040792923076923074,0.14097417234282167,13,0.049654,,1.0
2019-03-06,A305080,TIGER 미국채10년선물,10320,1650.26462446,0.010027079769127381,sovereign_us,0.1994334,0.44697866759645255,5,0.482012,,1.0
2019-03-07,A305080,TIGER 미국채10년선물,10315,1650.26462446,0.011470558076985856,sovereign_us,-0.14393254545454545,0.32978517100390176,11,-0.22965599999999997,0.45930322558087916,3.0
2019-03-08,A305080,TIGER 미국채10년선물,10449,1650.26462446,0.0019122292852440839,sovereign_us,0.03457455555555555,0.3964809497447863,9,,,
2019-03-11,A305080,TIGER 미국채10년선물,10424,1650.26462446,0.0004795473165318353,sovereign_us,0.07051539999999999,0.12557274041088695,5,-0.5038395,0.4374820157726486,2.0
2019-03-12,A305080,TIGER 미국채10년선물,10369,1650.26462446,0.004810476853905578,sovereign_us,-0.0001552857142857143,0.00035059079389211683,7,-0.6922546666666666,0.4165360421792252,3.0
2019-03-13,A305080,TIGER 미국채10년선물,10424,1650.26462446,-0.0028821232362938663,sovereign_us,0.4096825,0.49263583327545307,4,-0.20386975,0.3821768965600223,4.0
2019-03-14,A305080,TIGER 미국채10년선물,10434,1650.26462446,-0.0014386421701543277,sovereign_us,0.20306449999999998,0.35481745988896257,10,-0.06733433333333333,0.03794829082229308,3.0
2019-03-15,A305080,TIGER 미국채10년선물,10469,1650.26462446,-0.001433829046487798,sovereign_us,0.000961,0.002134532735752722,5,-0.6938686666666666,0.23383950384041902,3.0
2019-03-18,A305080,TIGER 미국채10년선물,10429,1650.26462446,0.01276694170194925,sovereign_us,0.000314375,0.00042714866515401533,8,-0.2824743333333333,0.475464688962633,3.0
2019-03-19,A305080,TIGER 미국채10년선물,10419,1650.26462446,0.012400006269625022,sovereign_us,0.32831266666666664,0.4926285011555361,9,0.08569,,1.0
2019-03-20,A305080,TIGER 미국채10년선물,10394,1650.26462446,0.017547656057538028,sovereign_us,0.16642166666666666,0.40828437485197333,6,-0.15033000000000002,0.2772834389609304,2.0
2019-03-21,A305080,TIGER 미국채10년선물,10419,1650.26462446,0.021741018662763893,sovereign_us,-0.0009659230769230768,0.002557838555679986,13,-0.4300715,0.6344805507976584,2.0
2019-03-22,A305080,TIGER 미국채10년선물,10454,1650.26462446,0.013208725323628887,sovereign_us,0.054163300000000004,0.08941854240474337,10,-0.897783,,1.0
2019-03-25,A305080,TIGER 미국채10년선물,10563,1650.26462446,-0.0013262601413534553,sovereign_us,0.11157052941176471,0.5904503513995819,17,-0.287058,0.4454942427102734,2.0
2019-03-26,A305080,TIGER 미국채10년선물,10549,1650.26462446,0.0013262601413535377,sovereign_us,-0.01371,0.027020154971181543,4,0.076149,,1.0
2019-03-27,A305080,TIGER 미국채10년선물,10578,1650.26462446,-0.0051180094657419005,sovereign_us,-0.19674464285714285,0.38098101383899136,14,-0.758374,0.11906688245687794,2.0
2019-03-28,A305080,TIGER 미국채10년선물,10648,1650.26462446,-0.00981510333265906,sovereign_us,-0.1230089,0.37078275388080467,10,-0.106867,0.2848795999031872,5.0
2019-03-29,A305080,TIGER 미국채10년선물,10593,1650.26462446,-0.006535042436312761,sovereign_us,0.111184,0.331518517063904,9,-0.1168115,0.15440171541955094,2.0
2019-04-01,A305080,TIGER 미국채10년선물,10549,1650.26462446,0.006048596080013798,sovereign_us,0.23894181818181817,0.5668557159085226,11,-0.04771766666666664,0.6950090650921996,3.0
2019-04-02,A305080,TIGER 미국채10년선물,10563,1650.26462446,0.0028360767733339332,sovereign_us,0.11067893333333333,0.4745783729976184,15,,,
2019-04-03,A305080,TIGER 미국채10년선물,10524,1650.26462446,0.0046452185723431,sovereign_us,-0.0083308,0.017013599617822076,10,0.07703466666666667,0.08770759845266164,3.0
2019-04-04,A305080,TIGER 미국채10년선물,10544,1650.26462446,0.004636427854207735,sovereign_us,0.40477100000000005,0.5431017263630268,5,-0.29448799999999997,0.5251027367249194,3.0
2019-04-05,A305080,TIGER 미국채10년선물,10524,1650.26462446,0.003698965662978817,sovereign_us,0.16782542857142854,0.3496990602965437,7,-0.13984516666666666,0.6574048267225963,6.0
2019-04-08,A305080,TIGER 미국채10년선물,10613,1650.26462446,-0.01318366892238954,sovereign_us,0.12675078571428572,0.48708304892589993,14,-0.284496,0.528382713814523,2.0
2019-04-09,A305080,TIGER 미국채10년선물,10593,1650.26462446,-0.007961372730899544,sovereign_us,0.006721777777777775,0.06981191679036212,9,-0.289161,0.5463534829787396,3.0
2019-04-10,A305080,TIGER 미국채10년선물,10573,1650.26462446,-0.009885072413171549,sovereign_us,-0.06851700000000001,0.2579224000794991,14,-0.130486,0.34289280615764844,4.0
2019-04-11,A305080,TIGER 미국채10년선물,10593,1650.26462446,-0.008437268613863989,sovereign_us,0.1317535,0.3514900853818316,12,-0.01132125,0.11009288647130355,4.0
2019-04-12,A305080,TIGER 미국채10년선물,10563,1650.26462446,-0.0036989656629789,sovereign_us,0.0002525,0.0005833630944789016,2,-0.37933600000000006,0.4536023027547369,6.0
2019-04-15,A305080,TIGER 미국채10년선물,10474,1650.26462446,0.007987870544128653,sovereign_us,-0.03966883333333334,0.537319862648926,12,0.386689,,1.0
2019-04-16,A305080,TIGER 미국채10년선물,10509,1650.26462446,0.007016907228127868,sovereign_us,0.17779742857142858,0.6080702211578466,7,0.097319,,1.0
2019-04-17,A305080,TIGER 미국채10년선물,10469,1650.26462446,0.017892274537372684,sovereign_us,0.10891044444444445,0.3341586970913338,9,-0.22355433333333333,0.5408137247762239,3.0
2019-04-18,A305080,TIGER 미국채10년선물,10504,1650.26462446,0.022963553752749815,sovereign_us,-0.0019997777777777774,0.005260583446201043,9,0.035889000000000004,0.002469216879903423,2.0
2019-04-19,A305080,TIGER 미국채10년선물,10524,1650.26462446,0.023291811771306136,sovereign_us,0.333660625,0.5046500508196425,8,0.148251,,1.0
2019-04-22,A305080,TIGER 미국채10년선물,10558,1650.26462446,0.019137544665803433,sovereign_us,0.082572375,0.2492675143030862,8,,,
2019-04-23,A305080,TIGER 미국채10년선물,10583,1650.26462446,0.02648173396912719,sovereign_us,0.09356083333333332,0.2997337137563385,6,-0.783755,0.10739820635373755,2.0
2019-04-24,A305080,TIGER 미국채10년선물,10658,1650.26462446,0.015270315345952943,sovereign_us,0.13946762499999998,0.34906637915238065,8,0.008020571428571441,0.5317336552362962,7.0
2019-04-25,A305080,TIGER 미국채10년선물,10748,1650.26462446,0.008246514187613282,sovereign_us,0.13351855555555556,0.5232525349179188,9,-0.26469750000000003,0.3013837593841115,2.0
2019-04-26,A305080,TIGER 미국채10년선물,10772,1650.26462446,0.0073992198473329255,sovereign_us,-0.20354563636363637,0.3931130424176417,11,-0.49776966666666667,0.5003041707265025,3.0
2019-04-29,A305080,TIGER 미국채10년선물,10762,1650.26462446,0.012924847574861176,sovereign_us,0.114804125,0.3396471669845783,16,-0.34989750000000003,0.31695425070583927,2.0
2019-04-30,A305080,TIGER 미국채10년선물,10867,1650.26462446,0.010891060839714002,sovereign_us,0.07638853333333333,0.523232690410008,15,0.0029133333333333233,0.3190013586089146,3.0
2019-05-02,A305080,TIGER 미국채10년선물,10822,1650.26462446,0.014129971762985855,sovereign_us,0.057722055555555554,0.24150902588357237,18,-0.1406585,0.21983313430986692,2.0
2019-05-03,A305080,TIGER 미국채10년선물,10837,1650.26462446,0.02361847807167236,sovereign_us,-0.013779666666666671,0.568660954404345,12,,,
2019-05-07,A305080,TIGER 미국채10년선물,10852,1650.26462446,0.024935316856416225,sovereign_us,0.12401123529411763,0.5558860820148461,17,-0.1368607142857143,0.7204883481999586,7.0
2019-05-08,A305080,TIGER 미국채10년선물,10902,1650.26462446,0.019888954194615786,sovereign_us,0.1731422,0.3276555891327898,10,-0.054632,,1.0
2019-05-09,A305080,TIGER 미국채10년선물,10986,1650.26462446,0.0158038237531491,sovereign_us,-0.032554125,0.15555712784370296,8,-0.23607533333333333,0.3579325572286861,6.0
2019-05-10,A305080,TIGER 미국채10년선물,10976,1650.26462446,0.021986829111020928,sovereign_us,-0.2245767,0.4298055351985877,10,-0.2541462857142857,0.4002449925681829,7.0
2019-05-13,A305080,TIGER 미국채10년선물,11096,1650.26462446,0.008882567038187746,sovereign_us,-9.571428571428572e-06,5.9343230849179823e-05,7,-0.433257,0.6188743069514736,4.0
2019-05-14,A305080,TIGER 미국채10년선물,11126,1650.26462446,0.004394428846531166,sovereign_us,-0.06933213333333335,0.6722665194633818,15,-0.337672,,1.0
2019-05-15,A305080,TIGER 미국채10년선물,11121,1650.26462446,0.0035903458368729993,sovereign_us,0.141649,0.35609568199411956,8,-0.291389,0.35257051216742447,2.0
2019-05-16,A305080,TIGER 미국채10년선물,11161,1650.26462446,-0.0004480889083353808,sovereign_us,-0.063966,0.2137185107057545,8,-0.07294966666666666,0.169823438406874,3.0
2019-05-17,A305080,TIGER 미국채10년선물,11220,1650.26462446,-0.003124305152457376,sovereign_us,0.14185885714285712,0.6884984846667973,7,-0.27349433333333334,0.4734622717179621,3.0
2019-05-20,A305080,TIGER 미국채10년선물,11195,1650.26462446,-0.00618253839761666,sovereign_us,0.2730859090909091,0.46663304864067534,11,0.08097,,1.0
2019-05-21,A305080,TIGER 미국채10년선물,11175,1650.26462446,-0.0008056936114638757,sovereign_us,-0.21749269230769233,0.37451900943841393,13,-0.4401636666666667,0.6003994281079333,3.0
2019-05-22,A305080,TIGER 미국채10년선물,11161,1650.26462446,0.012377167044716947,sovereign_us,-0.14351466666666668,0.40216905730136265,6,-0.058438,,1.0
2019-05-23,A305080,TIGER 미국채10년선물,11156,1650.26462446,0.007501374700302506,sovereign_us,0.0010595,0.0013774325149833414,4,-0.08683899999999996,0.7606690104828775,3.0
2019-05-24,A305080,TIGER 미국채10년선물,11185,1650.26462446,0.010671510787840175,sovereign_us,-0.081484,0.11530224595384081,2,,,
2019-05-27,A305080,TIGER 미국채10년선물,11126,1650.26462446,0.012859616398583374,sovereign_us,0.1443931,0.6242294119980517,10,,,
2019-05-28,A305080,TIGER 미국채10년선물,11166,1650.26462446,0.01237165884176456,sovereign_us,0.09341666666666666,0.5134862608241348,12,0.0517425,0.07473199438326264,2.0
2019-05-29,A305080,TIGER 미국채10년선물,11300,1650.26462446,-0.0013283154487958376,sovereign_us,0.013121000000000018,0.5534254355552336,13,-0.780605,,1.0
2019-05-30,A305080,TIGER 미국채10년선물,11240,1650.26462446,0.004881305454421656,sovereign_us,-0.11759145454545455,0.5114538718426841,11,-0.431448,0.36096952651435826,2.0
2019-05-31,A305080,TIGER 미국채10년선물,11305,1650.26462446,0.0004421843980959872,sovereign_us,-0.03512514285714286,0.5665187993897273,14,-0.4504785,0.532682091789903,4.0
2019-06-03,A305080,TIGER 미국채10년선물,11270,1650.26462446,-0.0004437541674771994,sovereign_us,0.15701142105263158,0.37493235924531415,19,-0.518378,0.5696070391576986,2.0
2019-06-04,A305080,TIGER 미국채10년선물,11305,1650.26462446,-0.0026572203411910898,sovereign_us,0.1223641875,0.48389433096055434,16,-0.4190598,0.3515431236857009,5.0
