date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-01-02,161510,PLUS 고배당주,8164,141584,0.0069576112223987,가치배당,0.1698883163536569,0.5195971725000101,15,-0.2238481231033802,0.4493626009164711,8.0
2019-01-02,174350,TIGER 로우볼,9193,21995,0.0124319205584271,가치배당,0.1698883163536569,0.5195971725000101,15,-0.2238481231033802,0.4493626009164711,8.0
2019-01-02,182480,TIGER 미국MSCI리츠(합성H),8927,15767,0.0337036305932656,가치배당,0.1698883163536569,0.5195971725000101,15,-0.2238481231033802,0.4493626009164711,8.0
2019-01-03,161510,PLUS 고배당주,8080,3538517,0.0169349979282138,가치배당,0.0139926101129579,0.3657634493991761,15,-0.3484470566424231,0.4336289710669522,12.0
2019-01-03,174350,TIGER 로우볼,9201,34767,0.007039613194232,가치배당,0.0139926101129579,0.3657634493991761,15,-0.3484470566424231,0.4336289710669522,12.0
2019-01-03,182480,TIGER 미국MSCI리츠(합성H),8832,6277,0.0503417548608506,가치배당,0.0139926101129579,0.3657634493991761,15,-0.3484470566424231,0.4336289710669522,12.0
2019-01-04,161510,PLUS 고배당주,8080,4061314,0.0181510992577056,가치배당,0.0724492502140492,0.2667401362532342,14,-0.2881911552200715,0.3562144364398001,12.0
2019-01-04,174350,TIGER 로우볼,9335,12824,-0.0044017463309007,가치배당,0.0724492502140492,0.2667401362532342,14,-0.2881911552200715,0.3562144364398001,12.0
2019-01-04,182480,TIGER 미국MSCI리츠(합성H),8888,1792,0.0513157963846033,가치배당,0.0724492502140492,0.2667401362532342,14,-0.2881911552200715,0.3562144364398001,12.0
2019-01-07,161510,PLUS 고배당주,8148,1739105,0.0097704734261512,가치배당,0.058402683165923,0.5737269808445993,16,-0.31892231789728,0.395693079981365,9.0
2019-01-07,174350,TIGER 로우볼,9297,7128,-0.0071243824657063,가치배당,0.058402683165923,0.5737269808445993,16,-0.31892231789728,0.395693079981365,9.0
2019-01-07,182480,TIGER 미국MSCI리츠(합성H),8998,275,0.0398702192096838,가치배당,0.058402683165923,0.5737269808445993,16,-0.31892231789728,0.395693079981365,9.0
2019-01-08,161510,PLUS 고배당주,8090,1734254,0.0293547659223705,가치배당,0.2793169787782972,0.4299870001272401,22,-0.1433710272734364,0.3707376333019296,6.0
2019-01-08,174350,TIGER 로우볼,9280,964,0.00451565115244,가치배당,0.2793169787782972,0.4299870001272401,22,-0.1433710272734364,0.3707376333019296,6.0
2019-01-08,182480,TIGER 미국MSCI리츠(합성H),9026,13816,0.0399618861999933,가치배당,0.2793169787782972,0.4299870001272401,22,-0.1433710272734364,0.3707376333019296,6.0
2019-01-09,161510,PLUS 고배당주,8221,74098,0.0192753829467733,가치배당,0.0596771534588437,0.5997612924160614,21,-0.3411551316579183,0.4165992737126497,6.0
2019-01-09,174350,TIGER 로우볼,9308,19518,0.0023607694192069,가치배당,0.0596771534588437,0.5997612924160614,21,-0.3411551316579183,0.4165992737126497,6.0
2019-01-09,182480,TIGER 미국MSCI리츠(합성H),9233,561,0.0221719573669201,가치배당,0.0596771534588437,0.5997612924160614,21,-0.3411551316579183,0.4165992737126497,6.0
2019-01-10,161510,PLUS 고배당주,8218,67406,0.0232135025190824,가치배당,0.1069232755347145,0.5571871654429106,19,-0.1770171729417947,0.4390058162131549,13.0
2019-01-10,174350,TIGER 로우볼,9266,5235,0.0149959965284001,가치배당,0.1069232755347145,0.5571871654429106,19,-0.1770171729417947,0.4390058162131549,13.0
2019-01-10,182480,TIGER 미국MSCI리츠(합성H),9288,559,0.0270846570395271,가치배당,0.1069232755347145,0.5571871654429106,19,-0.1770171729417947,0.4390058162131549,13.0
2019-01-11,161510,PLUS 고배당주,8228,54486,0.0278062018274223,가치배당,0.1261240221367643,0.3410665449329159,16,-0.1591241089627146,0.5371238557106455,12.0
2019-01-11,174350,TIGER 로우볼,9294,20668,0.0119787528600703,가치배당,0.1261240221367643,0.3410665449329159,16,-0.1591241089627146,0.5371238557106455,12.0
2019-01-11,182480,TIGER 미국MSCI리츠(합성H),9356,4227,0.0268904271192145,가치배당,0.1261240221367643,0.3410665449329159,16,-0.1591241089627146,0.5371238557106455,12.0
2019-01-14,161510,PLUS 고배당주,8228,61121,0.0287513814819089,가치배당,0.0909605259398981,0.4586874295675228,26,-0.3119977087928698,0.3984014997291561,13.0
2019-01-14,174350,TIGER 로우볼,9231,48340,0.0169714062683965,가치배당,0.0909605259398981,0.4586874295675228,26,-0.3119977087928698,0.3984014997291561,13.0
2019-01-14,182480,TIGER 미국MSCI리츠(합성H),9364,6082,0.027906828629483,가치배당,0.0909605259398981,0.4586874295675228,26,-0.3119977087928698,0.3984014997291561,13.0
2019-01-15,161510,PLUS 고배당주,8331,78666,0.015011003807313,가치배당,0.0810761081063348,0.4028661114802399,23,0.0010890010744333,0.2598846106335384,4.0
2019-01-15,174350,TIGER 로우볼,9322,37917,0.0073745858719274,가치배당,0.0810761081063348,0.4028661114802399,23,0.0010890010744333,0.2598846106335384,4.0
2019-01-15,182480,TIGER 미국MSCI리츠(합성H),9394,215,0.0228370882363435,가치배당,0.0810761081063348,0.4028661114802399,23,0.0010890010744333,0.2598846106335384,4.0
2019-01-16,161510,PLUS 고배당주,8381,51311,0.008199202252312,가치배당,0.2228602085836731,0.5762379322570613,12,-0.0369613468647003,0.413725805181089,7.0
2019-01-16,174350,TIGER 로우볼,9330,239,0.0158438106116527,가치배당,0.2228602085836731,0.5762379322570613,12,-0.0369613468647003,0.413725805181089,7.0
2019-01-16,182480,TIGER 미국MSCI리츠(합성H),9440,285,0.0104326780056602,가치배당,0.2228602085836731,0.5762379322570613,12,-0.0369613468647003,0.413725805181089,7.0
2019-01-17,161510,PLUS 고배당주,8411,61643,0.0149864153554695,가치배당,0.1989886358209332,0.7847561941533064,10,-0.0677045062184333,0.4190867402641896,14.0
2019-01-17,174350,TIGER 로우볼,9406,35410,0.009206901376805,가치배당,0.1989886358209332,0.7847561941533064,10,-0.0677045062184333,0.4190867402641896,14.0
2019-01-17,182480,TIGER 미국MSCI리츠(합성H),9543,254,-0.0014681210690667,가치배당,0.1989886358209332,0.7847561941533064,10,-0.0677045062184333,0.4190867402641896,14.0
2019-01-18,161510,PLUS 고배당주,8460,55464,0.018619895047129,가치배당,0.0639819508817254,0.4387852531355213,16,-0.0940846660259095,0.2947283429335323,11.0
