date,ticker,name,end,AUM,target_5d,sector,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count,vix_close
2019-01-02,069500,KODEX 200,22572,54430.29190602,0.025975486403260736,domestic_core,0.0537,0.5223,17.0,,,,23.219999313354492
2019-01-02,133690,TIGER 미국나스닥100,30645,41375.59331762,0.051451545855989364,global_macro,0.2265,0.4529,4.0,0.007,0.3633,5.0,23.219999313354492
2019-01-02,229200,KODEX 코스닥150,10979,10338.40276155,0.006084014226400403,domestic_core,0.0537,0.5223,17.0,,,,23.219999313354492
2019-01-02,241180,TIGER 일본니케이225,11022,2236.44630463,0.04644578117769831,global_macro,0.2265,0.4529,4.0,0.007,0.3633,5.0,23.219999313354492
2019-01-02,251350,KODEX 선진국MSCI World,10972,3285.27788797,0.03104780564497533,global_macro,0.2265,0.4529,4.0,0.007,0.3633,5.0,23.219999313354492
2019-01-03,069500,KODEX 200,22354,54430.29190602,0.035248650253338516,domestic_core,-0.0428,0.5886,26.0,,,,25.450000762939453
2019-01-03,133690,TIGER 미국나스닥100,30381,41375.59331762,0.05044866011088074,global_macro,-0.0541,0.0938,3.0,-0.7722,0.2064,4.0,25.450000762939453
2019-01-03,229200,KODEX 코스닥150,10735,10338.40276155,0.033165370187682314,domestic_core,-0.0428,0.5886,26.0,,,,25.450000762939453
2019-01-03,241180,TIGER 일본니케이225,11162,2236.44630463,0.024688242352565046,global_macro,-0.0541,0.0938,3.0,-0.7722,0.2064,4.0,25.450000762939453
2019-01-03,251350,KODEX 선진국MSCI World,11046,3285.27788797,0.02397252544196824,global_macro,-0.0541,0.0938,3.0,-0.7722,0.2064,4.0,25.450000762939453
2019-01-04,069500,KODEX 200,22523,54430.29190602,0.033787587597923247,domestic_core,-0.1318,0.638,8.0,,,,21.3799991607666
2019-01-04,133690,TIGER 미국나스닥100,30470,41375.59331762,0.05205112990134686,global_macro,-0.1999,0.4457,5.0,0.0257,0.3832,7.0,21.3799991607666
2019-01-04,229200,KODEX 코스닥150,10932,10338.40276155,0.015881272119161453,domestic_core,-0.1318,0.638,8.0,,,,21.3799991607666
2019-01-04,241180,TIGER 일본니케이225,11119,2236.44630463,0.03299578439593095,global_macro,-0.1999,0.4457,5.0,0.0257,0.3832,7.0,21.3799991607666
2019-01-04,251350,KODEX 선진국MSCI World,10840,3285.27788797,0.04606284976170224,global_macro,-0.1999,0.4457,5.0,0.0257,0.3832,7.0,21.3799991607666
2019-01-07,069500,KODEX 200,22845,54430.29190602,0.010970463948787394,domestic_core,0.1855,0.5128,19.0,,,,21.399999618530273
2019-01-07,133690,TIGER 미국나스닥100,31457,41375.59331762,0.014266567763700675,global_macro,-0.8418,0.2223,2.0,-0.3723,0.4257,3.0,21.399999618530273
