date,sector,global_mean,global_std,global_count
2019-01-01,단기자금,-0.09060000379880269,0.7411567911417599,3
2019-01-02,단기자금,-0.07663237452507018,0.5024558107065658,10
2019-01-03,단기자금,-0.3006076739790539,0.5145235215139475,12
2019-01-04,단기자금,-0.21210215712587038,0.3142286020241789,15
2019-01-05,단기자금,-0.039416203275322914,0.2690769576938383,8
2019-01-06,단기자금,-0.2786983315917579,0.4411995698216533,11
2019-01-07,단기자금,-0.10671746945725037,0.41515864900407323,13
2019-01-08,단기자금,0.0705764852464199,0.39354553912910956,8
2019-01-09,단기자금,-0.20718385021273905,0.25849991378984355,13
2019-01-10,단기자금,-0.3021987889789873,0.44713330573078186,27
2019-01-11,단기자금,-0.20233674068003893,0.4803104788503307,20
2019-01-12,단기자금,-0.18664130102843046,0.2931055209709566,4
2019-01-13,단기자금,-0.033933425632615886,0.13417264371852294,6
2019-01-14,단기자금,-0.16838382237723895,0.4995762465341187,14
2019-01-15,단기자금,-0.07629181403252813,0.3554620275315667,9
2019-01-16,단기자금,-0.03659075032919645,0.46179832750066296,8
2019-01-17,단기자금,0.026275448873639105,0.4356391476412692,10
2019-01-18,단기자금,-0.11553825810551643,0.4670672292274045,14
2019-01-19,단기자금,-0.45660583674907684,0.38515346747651547,3
2019-01-20,단기자금,-0.27179229632019997,0.4136506179879897,5
2019-01-21,단기자금,-0.2806639124949773,0.49410257192205925,6
2019-01-22,단기자금,0.09881370794028044,0.146899112102704,10
2019-01-23,단기자금,-0.3895518947392702,0.4879387708919347,8
2019-01-24,단기자금,-0.2029368244111538,0.3966447646561569,9
2019-01-25,단기자금,-0.32509386858769823,0.3967384866911228,14
2019-01-26,단기자금,-0.0440250807441771,0.39855861119713537,8
2019-01-27,단기자금,-0.16240349571619714,0.22918918574281757,7
2019-01-28,단기자금,-0.2145195874170615,0.45749754735355996,13
2019-01-29,단기자금,-0.23324009072449473,0.36414190407291697,9
2019-01-30,단기자금,-0.11550790931169803,0.514314072576035,13
2019-01-31,단기자금,-0.2594647204503417,0.38955149327525096,10
2019-02-01,단기자금,-0.16268968731164932,0.3228577884588093,15
2019-02-02,단기자금,0.1130641058087349,0.15260336716203,5
2019-02-03,단기자금,0.17366883251816034,0.45592938083804263,4
2019-02-04,단기자금,-0.07846868990196122,0.18584530261352344,9
2019-02-05,단기자금,0.01672654057090933,0.18430738445074563,11
2019-02-06,단기자금,-0.00448860926553607,0.2658792525462316,8
2019-02-07,단기자금,0.11103341329310622,0.5946668093815708,7
