date,sector,domestic_mean,domestic_std,domestic_count
2019-01-01,단기자금,-3.5400837077759206e-05,0.0,1
2019-01-02,단기자금,-0.49965737526508747,0.7066400713625745,2
2019-01-03,단기자금,0.1218443153611588,0.34419696255074883,8
2019-01-04,단기자금,3.7250794573790496e-05,9.91204066341926e-05,9
2019-01-06,단기자금,3.101156835327856e-05,0.0,1
2019-01-07,단기자금,0.319769141120725,0.5206882997738386,11
2019-01-08,단기자금,0.04146941925864667,0.05859783575979109,2
2019-01-09,단기자금,-0.08920609308967999,0.31257939050151845,7
2019-01-10,단기자금,0.005856955421768362,0.013286740607197686,5
2019-01-11,단기자금,-0.0029800855554640293,0.0,1
2019-01-12,단기자금,-0.40118720196187496,0.5204647440830074,2
2019-01-14,단기자금,-0.2016194500050915,0.420580696266285,10
2019-01-15,단기자금,-0.24860177397749794,0.49361221523557075,4
2019-01-16,단기자금,0.23236714836366446,0.45709940096433177,4
2019-01-17,단기자금,-0.12672486121664406,0.8308610781339305,8
2019-01-18,단기자금,-0.06791720565524884,0.5937074410694425,5
2019-01-19,단기자금,0.00010898223627009429,2.0187964860553533e-05,2
2019-01-20,단기자금,-0.20039024913930917,0.4464512234735799,5
2019-01-21,단기자금,-0.28335269191458273,0.4842053428205907,7
2019-01-22,단기자금,0.1506252123211501,0.3685001137870183,6
2019-01-23,단기자금,0.7989163956415724,0.44660370491177814,5
2019-01-24,단기자금,2.7511196094565094e-05,2.2029651460553798e-06,2
2019-01-25,단기자금,0.017252899631421313,0.04005487490868287,5
2019-01-27,단기자금,-0.00020284032143536024,0.00018935272751174556,2
2019-01-28,단기자금,0.285752441454211,0.46858583018140354,14
2019-01-29,단기자금,0.20830262618489673,0.4188758865828859,14
2019-01-30,단기자금,0.13475332713035945,0.32584418924159153,6
2019-01-31,단기자금,0.3193466414941213,0.6419873979607508,14
2019-02-01,단기자금,0.31765785905918165,0.47214139359430735,4
2019-02-05,단기자금,-0.0016655109011480818,0.002386738543011324,2
2019-02-06,단기자금,3.1827730708755553e-06,1.6676199098551154e-06,2
2019-02-07,단기자금,0.009120378803865086,0.4919797173975604,7
2019-02-08,단기자금,0.34562001154543914,0.4600928399060502,7
2019-02-09,단기자금,-0.8420412540435791,0.0,1
2019-02-10,단기자금,-0.162022490995696,0.37405261825789154,4
2019-02-11,단기자금,0.4325509111153628,0.5475862607769821,9
2019-02-12,단기자금,0.25000469395672553,0.4996353597193144,4
2019-02-13,단기자금,0.03519527929841258,0.8109301875154097,7
2019-02-14,단기자금,0.07299609615885677,0.24908538015990647,61
2019-02-15,단기자금,0.10842887903143289,0.3341368864487864,9
2019-02-16,단기자금,6.018606654834002e-06,0.0,1
2019-02-17,단기자금,0.3333042686402526,0.5772291513191996,3
2019-02-18,단기자금,-0.24239531601779163,0.4492872494792834,8
2019-02-19,단기자금,0.02580305080555263,0.5847406206522362,5
2019-02-20,단기자금,0.39238141206858146,0.4522312341969576,7
2019-02-21,단기자금,0.025205402274514198,0.1579612709834915,40
2019-02-22,단기자금,0.03840359933761087,0.19605416359522246,26
2019-02-24,단기자금,0.00037627428355335724,0.0007173676338207942,6
2019-02-25,단기자금,0.09756171567229709,0.282150220440986,15
2019-02-26,단기자금,0.3711642360334129,0.4510392197784057,9
2019-02-27,단기자금,0.37354237344166347,0.45956398978756646,13
2019-02-28,단기자금,3.5539143573259936e-05,7.87797009094043e-05,5
2019-03-01,단기자금,8.591730875195935e-06,6.53181486145835e-06,2
2019-03-03,단기자금,0.9788284301757812,0.0,1
2019-03-04,단기자금,0.0005217885631108878,0.004279864294651968,21
2019-03-05,단기자금,0.0827736546657084,0.2762454948244939,13
2019-03-06,단기자금,-0.0005620854237349704,0.0008166975403718788,5
2019-03-07,단기자금,9.723877623660624e-05,0.0002094463184123391,7
2019-03-08,단기자금,0.16367601590463893,0.46699246377476594,5
2019-03-09,단기자금,6.418918201234192e-05,0.0,1
2019-03-11,단기자금,0.5713210942703881,0.534384040128546,7
2019-03-12,단기자금,-0.06661866475965675,0.2552030588802911,13
2019-03-13,단기자금,-0.3283250130795447,0.5716295565294092,3
2019-03-14,단기자금,-0.015117882396831797,0.03707711415808043,6
2019-03-15,단기자금,0.13840817577511189,0.33911938000749375,6
2019-03-17,단기자금,0.003175542689859867,0.0,1
2019-03-18,단기자금,0.44030651265388265,0.5228614350406304,9
2019-03-19,단기자금,-0.15237291711153894,0.3749418115354884,7
2019-03-20,단기자금,0.3199222385198179,0.4963476003010791,6
2019-03-21,단기자금,-0.34926743782034464,0.4845486999773239,8
2019-03-22,단기자금,0.006451341608933742,0.019388065385734423,9
2019-03-24,단기자금,9.228972885466646e-05,0.0001110652213640268,2
2019-03-25,단기자금,-0.03820785002426419,0.41543656113360256,8
2019-03-26,단기자금,-0.2866637285426675,0.7532189461209425,7
2019-03-27,단기자금,0.00147787655320523,0.002521016996853628,3
2019-03-28,단기자금,-0.12270800834676265,0.3471329857799306,8
2019-03-29,단기자금,0.11363315200360376,0.3037878094272216,10
2019-03-30,단기자금,-0.9996525645256042,0.0,1
2019-03-31,단기자금,-0.3433275617596034,0.7854530799749883,6
2019-04-01,단기자금,0.09974902446568497,0.5127800227197055,12
2019-04-02,단기자금,-0.13025972386660417,0.49502404671977096,9
2019-04-03,단기자금,0.4257738390544546,0.5128174668177669,5
2019-04-04,단기자금,0.0029519698224855042,0.006758249650669702,6
2019-04-05,단기자금,0.0004565515385669035,0.0010902650931950422,6
2019-04-07,단기자금,-0.25162699818611145,0.6522648668072419,3
2019-04-08,단기자금,0.16653110009368297,0.40709865643735965,6
2019-04-09,단기자금,-0.031884009918368456,0.1352446507721147,35
2019-04-10,단기자금,-0.17369302261158737,0.5558813800888605,12
2019-04-11,단기자금,0.0003344187090988271,0.0010259836188242467,10
2019-04-12,단기자금,0.038337307047516915,0.13203153677000862,11
2019-04-13,단기자금,-5.691772579060247e-05,0.00012139236442904952,3
2019-04-14,단기자금,0.44620029790409416,0.4700304076237595,6
2019-04-15,단기자금,0.04470264844409636,0.5364851069151854,12
2019-04-16,단기자금,0.18013811165292282,0.7495932897436565,6
2019-04-17,단기자금,-0.04573639326918055,0.49205147782162967,10
2019-04-18,단기자금,-0.06276280073216185,0.5789347327781513,10
2019-04-19,단기자금,0.08972065380253803,0.567566523027242,9
2019-04-20,단기자금,-7.731218647677451e-05,0.0,1
2019-04-21,단기자금,-0.9995723366737366,3.845885492739765e-05,3
2019-04-22,단기자금,-0.33262812893614563,0.6512621308511509,12
2019-04-23,단기자금,-0.49882016646151894,0.5276731338306018,10
2019-04-24,단기자금,-0.37553712421322416,0.7357042767264467,8
2019-04-25,단기자금,0.11026500441839744,0.7255198632567154,10
2019-04-26,단기자금,0.008486781143801636,0.02547378353988457,10
2019-04-28,단기자금,0.004719808232039213,0.0,1
2019-04-29,단기자금,0.4248623581544962,0.5271578218561195,5
2019-04-30,단기자금,0.09516185721586226,0.5271196032745219,10
2019-05-01,단기자금,-0.000919356185477227,0.0,1
2019-05-02,단기자금,0.075825893217453,0.30873068359647654,11
2019-05-03,단기자금,0.18835860580061722,0.34356202904263233,11
2019-05-04,단기자금,0.000192308411593937,0.0003544450910134789,3
2019-05-05,단기자금,-0.000905035338291782,0.0013411683074614645,2
2019-05-06,단기자금,-0.9825857281684875,0.0,1
2019-05-07,단기자금,0.19557323821572936,0.43801072843668504,5
2019-05-08,단기자금,0.0009359862733617774,0.0021448813590955753,4
2019-05-09,단기자금,-0.14076878464693438,0.30934290686858434,5
2019-05-10,단기자금,0.4998977898612793,0.7069312649833466,2
2019-05-12,단기자금,0.32701780956510146,0.5624212061685442,3
2019-05-13,단기자금,0.1331625718254751,0.3298389671101279,6
2019-05-14,단기자금,0.21187644789315527,0.4411677261164716,5
2019-05-15,단기자금,0.022587300628705027,0.06760656560437714,9
2019-05-16,단기자금,0.08169555209466732,0.5132455348029247,12
2019-05-17,단기자금,5.165220645722002e-05,0.00013843116002669082,5
2019-05-19,단기자금,0.00036011505289934576,0.0002796152404343354,2
2019-05-20,단기자금,-0.12253318356930062,0.34664787951662385,7
2019-05-21,단기자금,0.0008555860586056951,0.0012360344884383798,2
2019-05-22,단기자금,-0.2591162947703976,0.4449564148043705,7
2019-05-23,단기자금,0.16461619544922237,0.4024924710343954,6
2019-05-24,단기자금,-0.0001619772971025668,0.000429307416803321,5
2019-05-27,단기자금,0.2991079527990223,0.4808804150142458,10
2019-05-28,단기자금,0.12419973510186537,0.6964825562727041,10
2019-05-29,단기자금,0.10503989623393864,0.3145960060034061,10
2019-05-30,단기자금,0.2014972679543836,0.3928563107229728,17
2019-05-31,단기자금,0.14348601102080596,0.3361857537690465,7
2019-06-02,단기자금,0.49316526511029224,0.6973662081533497,2
2019-06-03,단기자금,0.17869697739098972,0.3950822950191623,11
2019-06-04,단기자금,0.1361093751552939,0.3814307991075919,7
