date,section,domestic_mean,domestic_std,domestic_count,global_mean,global_std,global_count
2019-02-24,domestic_core,-0.0199,,1.0,,,
2019-02-24,global_macro,0.0004,,1.0,,,
2019-02-25,domestic_core,0.3682,0.565,20.0,,,
2019-02-25,global_macro,0.1589,0.2247,2.0,-0.0168,,1.0
2019-02-26,domestic_core,0.0271,0.5358,16.0,,,
2019-02-26,global_macro,0.4988,0.7054,2.0,-0.1187,,1.0
2019-02-27,domestic_core,0.2936,0.4694,17.0,,,
2019-02-27,global_macro,0.1146,0.2704,5.0,,,
2019-02-28,domestic_core,-0.1489,0.5951,16.0,,,
2019-02-28,global_macro,0.0766,0.1913,6.0,0.8097,,1.0
2019-03-01,domestic_core,0.6594,0.5888,3.0,,,
2019-03-01,global_macro,-0.5858,,1.0,0.02,0.0355,2.0
2019-03-02,global_macro,0.6482,,1.0,,,
2019-03-03,domestic_core,0.0007,0.0006,3.0,,,
2019-03-03,global_macro,0.0268,0.0379,2.0,,,
2019-03-04,domestic_core,0.0882,0.4241,22.0,,,
2019-03-04,global_macro,0.3333,0.5772,3.0,-0.8856,,1.0
2019-03-05,domestic_core,0.0319,0.5546,24.0,,,
2019-03-05,global_macro,0.9998,,1.0,-0.0282,0.1473,2.0
2019-03-06,domestic_core,-0.126,0.7471,12.0,,,
2019-03-06,global_macro,0.0819,0.689,4.0,-0.0809,,1.0
2019-03-07,domestic_core,0.077,0.7527,18.0,,,
2019-03-07,global_macro,-0.0407,0.7032,5.0,-0.9214,,1.0
2019-03-08,domestic_core,-0.1352,0.7083,16.0,,,
2019-03-08,global_macro,-0.1208,0.0827,3.0,-0.9122,,1.0
2019-03-09,global_macro,-0.9724,,1.0,0.0872,0.1474,2.0
2019-03-10,domestic_core,0.0134,0.7228,8.0,,,
2019-03-10,global_macro,,,,-0.6675,,1.0
2019-03-11,domestic_core,-0.0142,0.5934,16.0,,,
2019-03-11,global_macro,-0.1951,0.4472,5.0,-0.931,,1.0
2019-03-12,domestic_core,0.3551,0.5725,18.0,,,
2019-03-12,global_macro,0.0002,0.0001,2.0,-0.8565,,1.0
2019-03-13,domestic_core,0.3257,0.6023,16.0,,,
2019-03-13,global_macro,-0.254,0.6759,6.0,,,
2019-03-14,domestic_core,-0.0056,0.4128,21.0,,,
2019-03-14,global_macro,0.2317,0.4552,4.0,-0.0552,,1.0
2019-03-15,domestic_core,-0.1221,0.629,19.0,,,
2019-03-15,global_macro,-0.5993,0.5661,2.0,,,
2019-03-16,global_macro,0.0287,,1.0,,,
2019-03-17,domestic_core,0.4716,0.7466,2.0,,,
2019-03-17,global_macro,-0.0,,1.0,,,
2019-03-18,domestic_core,0.3072,0.5909,13.0,,,
2019-03-18,global_macro,0.3327,0.5775,3.0,-0.8265,,1.0
2019-03-19,domestic_core,-0.2847,0.4884,7.0,,,
2019-03-19,global_macro,0.0218,0.565,6.0,0.0857,,1.0
2019-03-20,domestic_core,0.1378,0.739,25.0,,,
2019-03-20,global_macro,-0.1681,0.291,3.0,-0.1073,0.2098,3.0
2019-03-21,domestic_core,-0.0677,0.6408,24.0,,,
2019-03-21,global_macro,0.4988,0.5765,4.0,,,
2019-03-22,domestic_core,-0.0037,0.5509,28.0,,,
2019-03-22,global_macro,0.7109,0.5001,3.0,-0.8978,,1.0
2019-03-23,global_macro,-0.0479,,1.0,,,
2019-03-24,domestic_core,0.2919,0.4429,5.0,,,
2019-03-24,global_macro,-0.0003,,1.0,,,
2019-03-25,domestic_core,-0.0301,0.6338,24.0,,,
2019-03-25,global_macro,-0.1154,0.2302,4.0,-0.4541,0.6818,2.0
2019-03-26,domestic_core,0.2609,0.5604,14.0,,,
2019-03-26,global_macro,-0.0007,,1.0,-0.7537,,1.0
2019-03-27,domestic_core,0.0565,0.6478,20.0,,,
2019-03-27,global_macro,0.0274,0.7057,5.0,0.0686,,1.0
2019-03-28,domestic_core,-0.0369,0.6971,14.0,,,
2019-03-28,global_macro,0.2048,0.4515,4.0,-0.3844,0.4015,3.0
2019-03-29,domestic_core,-0.0643,0.4578,15.0,,,
2019-03-29,global_macro,0.9952,,1.0,,,
2019-03-30,global_macro,-0.0414,0.0746,3.0,,,
2019-03-31,domestic_core,0.8379,0.149,2.0,,,
2019-03-31,global_macro,0.0496,0.0835,3.0,,,
2019-04-01,domestic_core,0.0969,0.538,18.0,,,
2019-04-01,global_macro,0.3291,0.5721,3.0,,,
2019-04-02,domestic_core,-0.0227,0.5007,15.0,,,
2019-04-02,global_macro,0.0769,0.1339,5.0,0.2246,0.4371,2.0
2019-04-03,domestic_core,0.1389,0.6202,23.0,,,
2019-04-03,global_macro,-0.1247,0.3052,6.0,-0.0155,,1.0
2019-04-04,domestic_core,0.2369,0.5505,13.0,,,
2019-04-04,global_macro,0.348,0.4921,2.0,,,
2019-04-05,domestic_core,0.194,0.4124,15.0,,,
2019-04-05,global_macro,0.3426,0.4473,6.0,0.002,,1.0
2019-04-06,global_macro,-0.0034,0.0078,3.0,,,
2019-04-07,domestic_core,0.5035,0.6856,2.0,,,
2019-04-07,global_macro,0.4989,0.7056,2.0,,,
2019-04-08,domestic_core,0.0406,0.464,20.0,,,
2019-04-08,global_macro,0.1669,0.4077,6.0,,,
2019-04-09,domestic_core,0.243,0.4459,16.0,,,
2019-04-09,global_macro,0.1281,0.3111,3.0,0.0256,0.0215,2.0
2019-04-10,domestic_core,0.2514,0.6078,14.0,,,
2019-04-10,global_macro,-0.1795,0.2405,4.0,,,
2019-04-11,domestic_core,0.2106,0.6912,14.0,,,
2019-04-11,global_macro,0.1447,0.4929,5.0,-0.0356,,1.0
2019-04-12,domestic_core,-0.1575,0.5179,16.0,,,
2019-04-12,global_macro,-0.2833,0.6249,3.0,-0.4658,0.4536,7.0
2019-04-13,global_macro,0.3084,0.3933,2.0,,,
2019-04-14,domestic_core,0.25,0.4998,4.0,,,
2019-04-14,global_macro,0.0026,,1.0,,,
2019-04-15,domestic_core,0.0616,0.6038,22.0,,,
2019-04-15,global_macro,0.2002,0.447,5.0,0.1918,0.2755,2.0
2019-04-16,domestic_core,0.1646,0.5585,22.0,,,
2019-04-16,global_macro,-0.0992,0.6322,7.0,0.0565,,1.0
2019-04-17,domestic_core,0.1514,0.4925,22.0,,,
2019-04-17,global_macro,0.3074,0.4875,6.0,0.0263,,1.0
2019-04-18,domestic_core,-0.1119,0.5983,16.0,,,
2019-04-18,global_macro,-0.4847,,1.0,,,
2019-04-19,domestic_core,0.2256,0.4707,16.0,,,
2019-04-19,global_macro,0.2142,0.3682,6.0,-0.866,,1.0
2019-04-20,domestic_core,-0.0001,,1.0,,,
2019-04-20,global_macro,0.9843,,1.0,,,
2019-04-21,domestic_core,0.9969,0.0028,4.0,,,
2019-04-21,global_macro,-0.0682,,1.0,,,
2019-04-22,domestic_core,0.0583,0.5606,16.0,,,
2019-04-22,global_macro,0.0002,0.0003,5.0,,,
2019-04-23,domestic_core,0.0403,0.4708,20.0,,,
2019-04-23,global_macro,0.3586,0.4761,7.0,0.2632,0.3883,2.0
2019-04-24,domestic_core,0.0779,0.4077,11.0,,,
2019-04-24,global_macro,-0.003,0.578,7.0,0.4337,0.6147,2.0
2019-04-25,domestic_core,-0.0645,0.5864,13.0,,,
2019-04-25,global_macro,0.2494,0.5373,9.0,-0.0516,,1.0
2019-04-26,domestic_core,0.0113,0.6157,12.0,,,
2019-04-26,global_macro,0.0037,0.7017,5.0,,,
2019-04-27,global_macro,-0.0087,0.013,2.0,,,
2019-04-28,domestic_core,-0.0055,1.405,2.0,,,
2019-04-28,global_macro,0.2471,0.5017,4.0,,,
2019-04-29,domestic_core,0.2382,0.4679,23.0,,,
