keyword,date,title
DAX,2025.06.30,상반기 28% 뛴 코스피 金도 나스닥도 제쳤다
DAX,2025.06.26,"“믿습니까?”…지지부진하던 미국 증시, 하반기 상승 가능성 커졌다는데"
DAX,2025.06.26,"""시총 톱2 깨어났다"" 힘받는 美증시 낙관론"
DAX,2025.06.20,"올해 증시 상승률 26% ‘톱’...코스피, 3년6개월만에 3000 되찾았다"
DAX,2025.06.20,코스피 3000 탈환 … 3년6개월 만
DAX,2025.06.20,코스피 3020선 마감…李취임 16일만 ‘삼천피’ 탈환
DAX,2025.06.13,"대신證, 나스닥100 마이크로 선물 수수료 77.5% 할인"
DAX,2025.06.02,"이강인의 PSG ‘죽음의 축하행사’...챔피언스리그 우승 후 소요사태, 500명 체포·2명 사망"
DAX,2025.05.27,이젠 유럽의 병자 아닌 주식 강자...역대 최고치 기록한 독일 증시
DAX,2025.05.27,[뉴욕증시] 메모리얼데이로 휴장… 관세 유예에 유럽증시 강세
DAX,2025.05.13,유럽 경기 이끄는 독일 대규모 경기부양책에 방산·은행·에너지株 ‘쑥’
DAX,2025.05.02,"“일단 가지고 있어, 그러면 유리해”…잠 못드는 서학개미 위한 투자길잡이"
DAX,2025.05.02,"""美 AI·반도체주 상승 여력 충분 … 中 첨단기술주에도 분산을"""
DAX,2025.04.28,"“우리는 대통령이 X맨 입니다”...충격파 컸던 미국증시, 2차대전 하락폭 맞먹어"
DAX,2025.04.28,트럼프가 촉발한 'Bye 아메리카'… 美증시 역대 5번째 대폭락
DAX,2025.04.05,"“金씨 당신마저 왜 이래”...최악의 공포에 휩싸인 자산시장, 금값도 떨어졌다"
DAX,2025.03.26,"“어떻게 모터사이클 이름이 닥스훈트”…혼다코리아, ‘ST125’ 韓 출시"
DAX,2025.03.23,"“미국만 봤다가는 큰코 다친다”...찬바람 부는 美증시, 대피처로 떠오른 곳은"
DAX,2025.03.21,찬바람 쌩쌩 美증시 어쩌나 봄바람 솔솔 유럽이 피난처
DAX,2025.03.19,'유럽의 병자' 탈출 … 독일증시 올해 17% 쑥
DAX,2025-03-19,유럽 경기 이끄는 독일…경기부양에 방산·은행주로 지수 17% ‘쑥’
DAX,2025-03-09,“아메리칸 퍼스트” 그렇게 외쳤는데…美증시는 안 오르고 유럽·중국만 호조
DAX,2025-03-03,잇단 호재에 유럽증시 '봄날'
DAX,2025-03-03,"“올해는 회복할까?”···유럽 증시, 복합 호재에 연초 상승세 기대"
DAX,2025-02-16,관세 내성 생겼나...코스닥 수익률 글로벌 2위 ‘반전’
DAX,2025-02-11,“미국 증시 보다 더 뜨거운 게 있네”…올해 수익률 톱 10 휩쓴 이 지역은
DAX,2025-02-11,힘받는 유럽증시…전세계 수익률 톱10 장악
DAX,2025.11.02,"GS칼텍스 ""AI로 에너지 효율성 극대화"""
DAX,2025.10.27,“국내 증시 미국 압도했다”…코스피 64% 치솟는 동안 미 S&P는 15% 그쳐
DAX,2025.10.11,‘더 센 미·중 갈등 오나’ 중국기업 주식·유럽증시·원유값 동반 하락
DAX,2025.08.06,[매경이코노미스트] 시장에 대한 겸손함이 아쉽다
DAX,2025.08.01,트럼프 관세 폭풍 승자는 한국?…상호 관세 전 올해 수익률 1등은 코스피
DAX,2025.07.24,"글로벌 금융시장, 무역협상 진전에 주식 강세 마감…달러·금값은 하락"
DAX,2025.07.22,[팩토리 팝콘] 자동화 넘어 지능화로 GS칼텍스 'DAX' 가속
DAX,2025.07.09,GS Caltex launches in-house generative AI platform to accelerate digital shift
DAX,2025.07.08,"생성형AI 사내 플랫폼 오픈 GS칼텍스, 디지털전환 가속"
DAX,2025.07.08,"GS칼텍스, 사내 생성형 AI 통합 플랫폼 ‘AIU’ 도입"
