keyword,date,title
MSCI Korea,2022.06.30,Korean retailers campaign for short selling ban as stock market slump persists
MSCI Korea,2022.06.24,S. Korea fails to make MSCI`s watch list for upgrade to developed market index
MSCI Korea,2022.06.17,Net profit of Kospi 200 firms will rise by 4% with Yoon’s corporate tax cut: Report
MSCI Korea,2022.06.13,"Foreigners shift towards KT, LG Uplus after SKT ownership nears highest cap"
MSCI Korea,2022.05.05,美 긴축 후폭풍 피할 코스피 피난처는 차.반도체
MSCI Korea,2022.05.04,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매도상위 종목에 금융업 업종 다수"
MSCI Korea,2022.05.04,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 운수장비 업종 다수"
MSCI Korea,2022.04.27,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매도상위 종목에 화학 업종 다수"
MSCI Korea,2022.04.21,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매도상위 종목에 전기,전자 업종 다수"
MSCI Korea,2022.04.21,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 전기,전자 업종 다수"
MSCI Korea,2022.04.13,S. Korea’s economy likely to miss growth and inflation targets: fin min
MSCI Korea,2022.04.08,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 운수창고 업종 다수"
MSCI Korea,2022.03.22,"코스피 팔아치우는 외국인, 이 종목만은 쓸어담았다"
MSCI Korea,2022.03.18,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매도상위 종목에 운수장비 업종 다수"
MSCI Korea,2022-03-14,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 서비스업 업종 다수"
MSCI Korea,2022-03-10,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매수상위 종목에 서비스업 업종 다수"
MSCI Korea,2022-03-07,"Korea must liberalize short selling to make MSCI developed market index, says ASIFMA"
MSCI Korea,2022-03-03,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매수상위 종목에 화학 업종 다수"
MSCI Korea,2022-02-28,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매도상위 종목에 전기,전자 업종 다수"
MSCI Korea,2022-02-24,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매도상위 종목에 서비스업 업종 다수"
MSCI Korea,2022-02-23,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 금융업 업종 다수"
MSCI Korea,2022-02-22,반등 노리는 외국인…코스피ETF 집중매수
MSCI Korea,2022-02-21,"Short selling in full force in Korea, doubled from partial ban lifting in May 2021"
MSCI Korea,2022-02-21,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매도상위 종목에 화학 업종 다수"
MSCI Korea,2022-02-14,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매수상위 종목에 금융업 업종 다수"
MSCI Korea,2022-02-11,"KIC adds Coinbase in its portfolio, the sovereign fund’s first invest in crypto entity"
MSCI Korea,2022-02-10,"Meritz Financial, Meritz Fire & Marine join MSCI Korea Index"
MSCI Korea,2022-02-09,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 기관 순매수상위 종목에 전기,전자 업종 다수"
MSCI Korea,2022-01-28,"""아직 안 판 청약자 고민 깊어진다""…LG엔솔 상장 이틀째 장중 9%대 급락"
MSCI Korea,2022-01-26,January 26 - 3
MSCI Korea,2022-01-26,Seoul to adjust FX dealing system to bid for upgrade to MSCI developed index
MSCI Korea,2022-01-25,"[아이넷 AI 로봇 기자] 직전 거래일, KOSPI에서 외국인 순매수상위 종목에 화학 업종 다수"
MSCI Korea,2022-01-17,Investors on the sidelines as they await the mega-arrival of LG Energy Solution
MSCI Korea,2022.12.25,개미들이 사랑한 ETF 中 전기차·美 S&P500
MSCI Korea,2022.12.19,뭉칫돈 몰린 대형주 ETF … 수익률은 '글쎄'
MSCI Korea,2022.12.13,종목 투자 살떨리는 시장 MSCI코리아 ETF 2조 돌파
MSCI Korea,2022.12.13,“종목은 쪽박찰까 불안” 외국인에 인기 끌며 2조 덩치 키운 ETF
MSCI Korea,2022.12.09,주식 시장 침체에도 돈 몰린 ETF…‘최초’ 순자산 80조 돌파
MSCI Korea,2022.12.02,하락장에 돈 더 몰렸다 … ETF '2조 클럽' 2배 늘어
MSCI Korea,2022.11.23,KRX probes foreign brokerages for possible stock price manipulation
MSCI Korea,2022.11.15,증시 반등했는데 … 웃지 못하는 동학개미
MSCI Korea,2022.11.10,“존버하면 웃는다!”...코스피 오르는데 인버스에 꽂힌 개미
MSCI Korea,2022.11.09,Korean stocks and currency benefit from foreign capital escaping from China
MSCI Korea,2022-10-30,배당시즌 다가오자 ‘토털 리턴 ETF’ 인기
MSCI Korea,2022-10-23,배당시즌 앞두고 `토털리턴 ETF` 인기
MSCI Korea,2022-10-11,삼네카 물타기로 22% 박살날때…기관 7% 수익 비결은
MSCI Korea,2022-09-30,월세처럼 꽂힌다…1억 넣으면 월 45만원 준다는데
MSCI Korea,2022-08-30,"NPS loses nearly $60 bn H1 due to sluggish stock, bond markets"
MSCI Korea,2022-07-22,신뢰 회복 절실한 펀드 시장
