keyword,date,title
MSCI ACWI,2020.05.27,"더퍼블릭투자자문, 해외 상품 누적 수익률 100% 돌파"
MSCI ACWI,2020.04.29,국민연금 1~2월 수익률 -0.45%
MSCI ACWI,2020.04.02,"혼란스러운 증시, ESG 투자로 장기전 준비할까… 단기수익보다 리스크 중점 ETF로 개인도 투자"
MSCI ACWI,2020.03.08,글로벌 `ESG 투자` 폭풍성장…한달새 6.8조 유입
MSCI ACWI,2020.02.28,펀드 왔숑~ `카카오 공모펀드` 나왔다
MSCI ACWI,2020.02.28,"미래에셋자산운용, `미래에셋합리적인AI글로벌모멘텀펀드` 출시"
MSCI ACWI,2020.02.27,지난해 해외증시 훈풍타고 국민연금 수익률 역대 최고
MSCI ACWI,2020.02.10,[단독] 국민연금의 모럴해저드…수익률 부풀려 `성과급 잔치`
MSCI ACWI,2020.02.10,"[단독] 국민연금, 황당한 초과수익 오류…‘화장발’ 수익률로 ‘성과급 잔치’"
MSCI ACWI,2020.01.15,"한국투자증권, 아티잰파트너스 제휴 `글로벌주식형펀드` 출시"
MSCI ACWI,2020.01.15,"한국투자증권, 아티잰파트너스와 손 잡고 글로벌주식형펀드 출시"
MSCI ACWI,2020.12.29,"""韓기업 ESG 정보 공개하라""…유럽운용사, 압박 거세진다"
MSCI ACWI,2020.12.29,뛰는 코스피 위에 날아가는 ESG펀드
MSCI ACWI,2020.11.27,"더퍼블릭자산운용, 2020년 해외 상품 수익률 50% 돌파"
MSCI ACWI,2020.09.01,글로벌증시 유동성 광풍…나스닥 올해 41번째 사상최고
