날짜,C0_Ret,C0_Disp,C0_Vol,C0_Count,C1_Ret,C1_Disp,C1_Vol,C1_Count,C2_Ret,C2_Disp,C2_Vol,C2_Count
2023-06-30,-0.00014039291296574774,,,1,-9.733402116041123e-05,,,1,0.0001966839092892858,,,1
2023-07-03,0.0002808252518067267,,,1,9.734349599432868e-05,,,1,0.00023597427880361899,,,1
2023-07-04,4.6791068520901646e-05,,,1,4.8667010580150105e-05,,,1,4.914971001679369e-05,,,1
2023-07-05,0.00013100886181383053,,,1,9.732928443506594e-05,,,1,4.9147294441498346e-05,,,1
2023-07-06,0.00018713100105727243,,0.00015958173658582012,1,0.0002919594371022516,,0.00013934556310497777,1,0.000127776685669323,,8.47657284810739e-05,1
2023-07-07,4.6773997399274236e-05,,0.00014444533639759423,1,0.0,,0.00012966304632508498,1,0.00024569300168053587,,8.895029648136533e-05,1
2023-07-10,-4.6771809694812205e-05,,0.00014191208916398252,1,-4.864570361140519e-05,,0.00012698099726367226,1,0.0001965061211657293,,8.302237860077799e-05,1
2023-07-11,0.00023386998699681527,,0.00014328078280023194,1,8.756652623587158e-05,,0.00011810298996726546,1,9.823375704831605e-05,,7.964789970556923e-05,1
2023-07-12,4.676306092288307e-05,,0.00013488761723347997,1,9.728762112315437e-05,,0.00011118679813859421,1,8.840169731261227e-05,,7.727212329951441e-05,1
2023-07-13,0.0004582565675648187,,0.00017300709883616598,1,0.0003404735500691647,,0.00013654259354104327,1,9.821542571475383e-05,,7.422040589167177e-05,1
2023-07-14,9.347891115774054e-05,,0.0001643939582686835,1,0.00014586757169388065,,0.00013057010683506469,1,0.00019641156078442634,,7.253871608043684e-05,1
2023-07-17,4.673508683383787e-05,,0.00015822685077479602,1,9.723086496582489e-05,,0.00012449393742235533,1,0.0001963729908587286,,7.080626566355146e-05,1
2023-07-18,0.00014019870830250802,,0.00015164707731982159,1,9.722141204382417e-05,,0.00011919404838732974,1,9.816721803912465e-05,,6.91982661303595e-05,1
2023-07-19,0.00014017905538010744,,0.0001458262543141167,1,9.721196095968665e-05,,0.00011451808000659951,1,9.815758218234549e-05,,6.762074215763956e-05,1
2023-07-20,0.00031769465805786545,,0.00014960113791247213,1,0.00037908979568035406,,0.00013228104676194392,1,9.814794821716433e-05,,6.609642112599474e-05,1
2023-07-21,4.670496473768715e-05,,0.0001460992062180285,1,4.858283859809909e-05,,0.00012888330634195982,1,0.00024534579035684345,,6.924569698281737e-05,1
