날짜,C0_Ret,C0_Disp,C0_Vol,C0_Count,C1_Ret,C1_Disp,C1_Vol,C1_Count,C2_Ret,C2_Disp,C2_Vol,C2_Count
2020-03-31,0.018095636879418342,0.005491288398650978,,4,0.008612678747167146,0.011340506394284603,,4,0.1141757168304316,,,1
2020-04-01,-0.03178969134372853,0.01793096626455255,,4,-0.02230372517558593,0.010054318250586747,,4,-0.06348633316142338,,,1
2020-04-02,0.020942765229181592,0.011530729088985458,,4,-0.01190245818357391,0.01903455196638379,,4,0.003579492262789863,,,1
2020-04-03,-0.0036064687825932973,0.003925447412926106,,4,-0.005647291636170143,0.0282218686573766,,4,0.0007682177348551367,,,1
2020-04-06,0.03678526681741312,0.004175786109293399,0.026532629645420483,4,0.03755109598557621,0.018794392099999755,0.02316956861223581,4,0.04567386774865656,,0.06545527935288381,1
2020-04-07,0.018000912622007537,0.003178976343366238,0.024074265183970003,4,0.028045401440889794,0.01183270065901173,0.023431197678887284,4,0.009228671805358912,,0.058714271669394434,1
2020-04-08,-0.008142971723574088,0.008801186510449649,0.022992415164854837,4,-0.010709436386518473,0.009728593481434905,0.022273445355467,4,-0.007117992414402252,,0.05445429431019427,1
2020-04-09,0.014867903489474643,0.004799223919583316,0.021459509733761754,4,0.034694248225193514,0.012531486088023245,0.023405601016139515,4,0.00612244897959191,,0.0505057714861763,1
2020-04-10,0.029538750928127966,0.008118018290710153,0.021302709201421566,4,0.027945713732572236,0.03464496422950731,0.022950797832108745,4,0.042232277526395245,,0.04819703280885714,1
2020-04-13,-0.01703546009939752,0.0024426356935722615,0.021893385876527147,4,-0.015441625752376342,0.008132223263164616,0.023040346297857957,4,-0.010878786366585125,,0.04627574916526808,1
2020-04-14,0.01441686876174142,0.0014091266770751918,0.02086648015862077,4,0.012878362120624154,0.019013494843325148,0.021927689262100293,4,0.02199687200443967,,0.04396670229331646,1
2020-04-16,-0.011535513784751983,0.008770779964132721,0.020708632262282044,4,-0.004442260642742224,0.01414553355388941,0.021194797478901805,4,0.0012341412844942834,,0.04210189424678586,1
2020-04-17,0.017638755692927666,0.0022207917579460685,0.020057296837177788,4,0.0380236026673787,0.022506948436093244,0.022084137220603168,4,0.005374223449363891,,0.04037443450922851,1
2020-04-20,-0.0014080137721035335,0.007058685426241149,0.01941864740624912,4,0.013120011946960664,0.029444205567111862,0.021245982133422305,4,0.0004904124368594331,,0.03893414347105002,1
2020-04-21,-0.011619916203783193,0.0033821244520878574,0.019314370223567617,4,-0.005293830815970957,0.028597042638559698,0.02081776508229285,4,0.0031371011224941014,,0.03758917754338888,1
2020-04-22,-0.0005369287131049838,0.002616366413795087,0.018724001293515438,4,-0.02452135994617935,0.011370621527001107,0.021725274375164035,4,0.0050818470559492734,,0.03635004836251092,1
2020-04-23,0.01035429895091422,0.014127088803081079,0.018171025327733237,4,0.0139290823475689,0.007654283000001346,0.02111688283146598,4,0.01565462589333455,,0.0352131084077162,1
2020-04-24,-0.010002363186556146,0.00264019104318656,0.01800732380260961,4,-0.009046084732160231,0.003395364270118384,0.02082143487196318,4,-0.014934660858742954,,0.0347197473946986,1
2020-04-27,0.04813876354013458,0.02941728470971166,0.020136249952440802,4,0.028670504031139465,0.014100136717553016,0.02090049350879439,4,0.001166237426502681,,0.03380106843053044,1
2020-04-28,0.007920360761395295,0.0022762034571390645,0.019600254314427065,4,0.01183990807390134,0.014152756018647688,0.020371091037262104,4,-0.005727321263893637,,0.03307405985962327,1
2020-04-29,0.013308439684012019,0.006286407874672932,0.019487184067175093,4,0.0014943828254199432,0.01792601872256568,0.02040910015628583,4,-0.004637539663168155,,0.021918736021863568,1
2020-05-04,-0.03259355281152665,0.008092826545597304,0.019571637483177664,4,-0.034183047786416176,0.010131348090738665,0.02145135226748896,4,-0.028003923491907834,,0.017204559404746893,1
2020-05-06,0.007275849180026217,0.006081291404242795,0.019287334070004252,4,0.023582340973776178,0.02454746692933835,0.02132934118878208,4,0.018568040768959015,,0.017485498072892264,1
2020-05-07,0.0019863469678508827,0.001088488566405705,0.01917961901036429,4,-0.005002229226648142,0.018092797340429036,0.02130789710748783,4,-0.006192103829196993,,0.017648351212395486,1
2020-05-08,0.005272832807295735,0.001199080209092262,0.017793595205013595,4,0.0092144090396159,0.014519012915350748,0.020161773565841035,4,0.02646794935699326,,0.015732879039105613,1
2020-05-11,-0.008225089286416298,0.0065430173492930345,0.017735218787473063,4,0.009851292049601446,0.00541370191001394,0.019551080746449307,4,0.008498033312290598,,0.015720852552355506,1
2020-05-12,-0.01676399270631046,0.004841623549276373,0.01813291291305216,4,0.015878697183567825,0.03485729477677624,0.019269169178988108,4,0.013385978428351208,,0.015631000426901572,1
2020-05-13,0.005003136264024655,0.0033008098726528667,0.01792753345957424,4,-0.017297400757951026,0.018357633059040687,0.018861752996405384,4,0.010120688016725277,,0.015672273639576413,1
2020-05-14,-0.010904271010492711,0.008815760475286961,0.016979733590061205,4,-0.020646038189740035,0.003940761824504926,0.018820405923518364,4,0.0009407780234254037,,0.013026888548169654,1
2020-05-15,0.0111542235669434,0.005470612691472366,0.016610485380801118,4,0.002911901765576208,0.007687547900563328,0.018360335749302726,4,-0.003007660134404788,,0.012697489599634904,1
2020-05-18,-0.0019527606046640666,0.006897047958410548,0.0163650312381903,4,0.01784070656136183,0.016562931449488255,0.018532890307104352,4,-0.0007070469007777191,,0.011947722013746255,1
2020-05-19,0.030247200073704517,0.009719491945574199,0.01730371204183911,4,0.030326153240902487,0.023045270558902747,0.019380107634090045,4,-0.010566037735849076,,0.012291895932750149,1
2020-05-20,-0.0030579478116024017,0.0051098356663483654,0.017012107453540624,4,-0.014910399208096697,0.018488421063346472,0.018217424329745942,4,0.007818459191456961,,0.012341818299205125,1
2020-05-21,0.002606430146539551,0.002406886208970982,0.016991217190468987,4,0.011692581329698526,0.007980406247609246,0.01817591461181119,4,0.00894039735099339,,0.01243610244244596,1
2020-05-22,-0.018498244319526513,0.0037805574102256828,0.017355225574495932,4,-0.00530815932929371,0.004512672506284453,0.01817623065301861,4,-0.008626752309062735,,0.012670426654079702,1
2020-05-25,0.00785664637911132,0.0035676366662710742,0.017391165196252698,4,0.013972671893059618,0.009508857240859009,0.01719652208422232,4,0.00893828328209989,,0.012753480888282378,1
