date,DXY,UUP
2019-01-02,115.7689,21.670427322387695
2019-01-03,115.4622,21.55210304260254
2019-01-04,114.9821,21.518295288085938
2019-01-07,114.5628,21.425325393676758
2019-01-08,114.7281,21.492938995361328
2019-01-09,114.1406,21.290098190307617
2019-01-10,114.0496,21.416873931884766
2019-01-11,114.0404,21.43377685546875
2019-01-14,114.0404,21.43377685546875
2019-01-15,114.3402,21.509843826293945
2019-01-16,114.137,21.535198211669922
2019-01-17,114.4115,21.535198211669922
2019-01-18,114.558,21.602813720703125
2019-01-21,114.558,21.602813720703125
2019-01-22,114.7541,21.602813720703125
2019-01-23,114.5759,21.55210304260254
2019-01-24,114.617,21.678878784179688
2019-01-25,114.0197,21.501392364501953
2019-01-28,114.0522,21.518295288085938
2019-01-29,114.026,21.526748657226562
2019-01-30,114.0731,21.416873931884766
2019-01-31,113.5504,21.459131240844727
2019-02-01,113.7548,21.459131240844727
2019-02-04,113.8766,21.518295288085938
2019-02-05,114.0431,21.57745933532715
2019-02-06,114.2305,21.66197395324707
2019-02-07,114.4339,21.71268653869629
2019-02-08,114.5003,21.7380428314209
2019-02-11,115.031,21.822561264038086
2019-02-12,114.7297,21.74649429321289
2019-02-13,114.9407,21.864818572998047
2019-02-14,115.1007,21.83946418762207
2019-02-15,114.9923,21.79720687866211
2019-02-18,114.9923,21.79720687866211
2019-02-19,114.57,21.71268653869629
2019-02-20,114.57,21.729591369628906
2019-02-21,114.5091,21.74649429321289
2019-02-22,114.2716,21.7380428314209
2019-02-25,114.1457,21.721139907836914
2019-02-26,114.0687,21.636621475219727
2019-02-27,114.0363,21.653526306152344
2019-02-28,114.1991,21.670427322387695
2019-03-01,114.537,21.754945755004883
2019-03-04,114.6925,21.780302047729492
2019-03-05,114.804,21.83946418762207
2019-03-06,114.9714,21.83946418762207
2019-03-07,115.4919,22.033855438232422
2019-03-08,115.3599,21.96624183654785
2019-03-11,115.2967,21.915529251098633
2019-03-12,114.939,21.873271942138672
2019-03-13,114.7372,21.7718505859375
2019-03-14,114.79,21.83946418762207
2019-03-15,114.5815,21.80565643310547
2019-03-18,114.4375,21.780302047729492
2019-03-19,114.2324,21.754945755004883
2019-03-20,114.1509,21.628170013427734
2019-03-21,114.1684,21.763395309448242
2019-03-22,114.6856,21.80565643310547
2019-03-25,114.4171,21.80565643310547
2019-03-26,114.6414,21.873271942138672
2019-03-27,115.1243,21.89862823486328
2019-03-28,115.2581,21.974693298339844
2019-03-29,115.1371,22.000049591064453
2019-04-01,114.9362,21.983144760131836
2019-04-02,115.1173,22.008502960205078
2019-04-03,114.7211,21.974693298339844
2019-04-04,114.9697,22.000049591064453
2019-04-05,114.9726,22.025402069091797
2019-04-08,114.6893,21.949337005615234
2019-04-09,114.5321,21.957792282104492
2019-04-10,114.4269,21.923982620239258
2019-04-11,114.6303,21.99159812927246
2019-04-12,114.3531,21.940885543823242
2019-04-15,114.495,21.93243408203125
2019-04-16,114.6756,21.983144760131836
2019-04-17,114.5141,21.96624183654785
2019-04-18,114.7073,22.084566116333008
2019-04-19,114.6977,22.084566116333008
2019-04-22,114.7694,22.033855438232422
2019-04-23,115.1578,22.109922409057617
2019-04-24,115.4187,22.219797134399414
2019-04-25,115.7709,22.262056350708008
2019-04-26,115.4767,22.2367000579834
2019-04-29,115.5227,22.185989379882812
2019-04-30,115.3281,22.11837387084961
2019-05-01,115.0022,22.14373016357422
2019-05-02,115.5617,22.194438934326172
2019-05-03,115.2646,22.109922409057617
2019-05-06,115.3811,22.126829147338867
2019-05-07,115.6116,22.14373016357422
2019-05-08,115.5171,22.152179718017578
2019-05-09,115.8421,22.109922409057617
2019-05-10,115.5334,22.101469039916992
